Time;Hour;STA 1;STA 2;
43;2020-10-30T19:30:44+01:00;1.223180540412819;15.179579081910529;
44;2020-10-30T19:30:45+01:00;1.2163846497334758;15.18543291689785;
45;2020-10-30T19:30:46+01:00;1.2042211304974015;15.248940029090267;
46;2020-10-30T19:30:47+01:00;1.2463217552683414;15.457906159266189;
47;2020-10-30T19:30:48+01:00;1.2256504374363457;15.34663517096382;
48;2020-10-30T19:30:49+01:00;1.2123324844734955;15.020416254916825;
49;2020-10-30T19:30:50+01:00;1.2245657312556635;15.632857191496436;
50;2020-10-30T19:30:51+01:00;1.2224592740227584;15.073376603802508;
51;2020-10-30T19:30:52+01:00;1.2277538141767983;15.706121526765411;
52;2020-10-30T19:30:53+01:00;1.3386077035179715;15.017755761086514;
53;2020-10-30T19:30:54+01:00;1.3470551433152866;15.299733603716742;
54;2020-10-30T19:30:55+01:00;1.3435518784022031;15.308148337947218;
55;2020-10-30T19:30:56+01:00;1.3399103508961185;15.486882994342555;
56;2020-10-30T19:30:57+01:00;1.3518253867700314;15.59902093472582;
57;2020-10-30T19:30:58+01:00;1.3363491721727605;15.42714675327227;
58;2020-10-30T19:30:59+01:00;1.3532301609569022;15.723348531427412;
59;2020-10-30T19:31:00+01:00;1.3447462726669352;15.509757640161604;
60;2020-10-30T19:31:01+01:00;1.3359007430930019;15.712626366482057;
61;2020-10-30T19:31:02+01:00;1.355081880606849;15.057466951051927;
62;2020-10-30T19:31:03+01:00;1.4523905691458237;14.978379595692873;
63;2020-10-30T19:31:04+01:00;1.465531484142898;15.777545751033902;
64;2020-10-30T19:31:05+01:00;1.5110333365792668;15.463956386006473;
65;2020-10-30T19:31:06+01:00;1.4526017607906596;15.518576020246575;
66;2020-10-30T19:31:07+01:00;1.5143280689977;16.214483891144848;
67;2020-10-30T19:31:08+01:00;1.371559104276678;13.815687349226215;
68;2020-10-30T19:31:09+01:00;1.5778307773355393;15.89879358249966;
69;2020-10-30T19:31:10+01:00;1.43057359106016;14.512054560888876;
70;2020-10-30T19:31:11+01:00;1.5706777177625397;16.498716497538705;
71;2020-10-30T19:31:12+01:00;1.4687978604796994;14.841683758405015;
72;2020-10-30T19:31:13+01:00;1.5981606400492563;15.42862888001717;
73;2020-10-30T19:31:14+01:00;1.6519030814402784;16.02798596228464;
74;2020-10-30T19:31:15+01:00;1.6302265278717107;15.052208486281975;
75;2020-10-30T19:31:16+01:00;1.55101119495799;14.770381461845563;
76;2020-10-30T19:31:17+01:00;1.6953311065967784;15.608916968648963;
