queue_delay,packet_loss,
1604083118,0.047443428,20
1604083119,0.047428452,24
1604083120,0.047448762,9
1604083121,0.047451427,12
1604083122,0.044227853,15
1604083123,0.043100174,9
1604083124,0.043033935,9
1604083125,0.043063022,13
1604083126,0.043101563,13
1604083127,0.043039372,8
1604083128,0.043087945,20
1604083129,0.043018373,6
1604083130,0.043071054,14
1604083131,0.043130774,11
1604083132,0.039863276,19
1604083133,0.039129762,11
1604083134,0.039089861,14
1604083135,0.039111619,18
1604083136,0.039153554,15
1604083137,0.039100386,14
1604083138,0.039138538,15
1604083139,0.039178649,12
1604083140,0.039092816,18
1604083141,0.039119441,11
1604083142,0.036535329,17
1604083143,0.035535541,15
1604083144,0.03549999,15
1604083145,0.035525816,11
1604083146,0.035527523,10
1604083147,0.035551917,14
1604083148,0.035490776,8
1604083149,0.035574915,8
1604083150,0.0355954,9
1604083151,0.035520016,4
1604083152,0.032699931,18
1604083153,0.032273695,10
1604083154,0.032274585,10
1604083155,0.03230847,9
1604083156,0.032259722,11
1604083157,0.032259478,15
1604083158,0.03224771,9
1604083159,0.032306894,9
1604083160,0.032306694,9
1604083161,0.032297606,11
1604083162,0.029805638,9
1604083163,0.029368044,7
1604083164,0.02932609,5
1604083165,0.029293575,8
1604083166,0.029302886,10
1604083167,0.029348537,9
1604083168,0.02929681,9
1604083169,0.029283655,10
1604083170,0.029339704,12
1604083171,0.029333103,12
1604083172,0.026630359,9
1604083173,0.026666916,4
1604083174,0.026617501,8
1604083175,0.026635288,5
1604083176,0.026601699,4
1604083177,0.026636149,12
1604083178,0.026613487,10
1604083179,0.026598669,13
1604083180,0.026657268,9
1604083181,0.026649401,10
1604083182,0.024143923,8
1604083183,0.024223602,9
1604083184,0.024187089,5
1604083185,0.024175872,2
1604083186,0.024207717,5
1604083187,0.024194539,1
1604083188,0.024213358,12
1604083189,0.024149196,4
1604083190,0.024149196,0
1604083191,0.024149196,0
1604083192,0.024149196,0
1604083193,0.024149196,0
1604083194,0.024149196,0
1604083195,0.024149196,0
1604083196,0.024149196,0
1604083197,0.024149196,0
1604083198,0.024149196,0
1604083199,0.024149196,0
