queue_delay,packet_loss
1604082703.654192120,0.000007553,0
1604082704.654476931,0.000006732,0
1604082705.654774201,0.000009066,0
1604082706.654989745,0.000009265,0
1604082707.655272226,0.000009889,0
1604082708.655495386,0.000006820,0
1604082709.655888258,0.000006699,0
1604082710.656180638,0.000007673,0
1604082711.656522488,0.000008355,0
1604082712.656795956,0.000007380,0
1604082713.657548237,0.000008531,0
1604082714.658011340,0.000006722,0
1604082715.658248503,0.000008742,0
1604082716.658728794,0.000008314,0
1604082717.658942087,0.000008498,0
1604082718.659243285,0.000006610,0
1604082719.659595184,0.000008269,0
1604082720.659856098,0.000008776,0
1604082721.660040916,0.000003096,0
1604082722.660232228,0.000007644,0
1604082723.660464977,0.000007568,0
1604082724.660784976,0.000006726,0
1604082725.661009134,0.000007582,0
1604082726.661440650,0.000008526,0
1604082727.661645731,0.000008488,0
1604082728.661942874,0.000006812,0
1604082729.662151356,0.000002466,0
1604082730.662346491,0.000006093,0
1604082731.662821201,0.000007392,0
1604082732.663075619,0.000003128,0
1604082733.663454427,0.000006626,0
1604082734.663710626,0.000006808,0
1604082735.663939825,0.000007659,0
1604082736.664188504,0.000007210,0
1604082737.664701550,0.000005611,0
1604082738.664995854,0.000006154,0
1604082739.665591745,0.000006303,0
1604082740.668692259,0.000007544,0
1604082741.669284383,0.000009739,0
1604082742.669763426,0.000007374,0
1604082743.670113501,0.000007094,0
1604082744.670406829,0.000006374,0
1604082745.674505692,0.000003101,0
1604082746.674675523,0.000006166,0
1604082747.674953343,0.000005765,0
1604082748.675212782,0.000005700,0
1604082749.675529469,0.000005731,0
1604082750.675881274,0.000005713,0
1604082751.676133401,0.000005725,0
1604082752.676411440,0.000005734,0
1604082753.676718002,0.000005637,0
1604082754.677004699,0.000008689,0
1604082755.677311176,0.000005663,0
1604082756.677628267,0.000005682,0
1604082757.677864898,0.000005616,0
1604082758.678153253,0.000005671,0
1604082759.678407072,0.000005722,0
1604082760.678708205,0.000006023,0
1604082761.722712558,0.000006023,0
1604082762.722995766,0.000005676,0
1604082763.723238085,0.000005800,0
1604082764.723474087,0.000005726,0
1604082765.723752604,0.000006146,0
1604082766.724057471,0.000005666,0
1604082767.724437407,0.000005714,0
1604082768.724735821,0.000005748,0
1604082769.725019990,0.000005820,0
1604082770.725290655,0.000005747,0
1604082771.725635072,0.000005669,0
1604082772.725909502,0.000005635,0
1604082773.726209389,0.000005607,0
1604082774.726469602,0.000005682,0
1604082775.726707068,0.000005934,0
1604082776.726998432,0.000007698,0
1604082777.727237658,0.000005735,0
1604082778.727547802,0.000005648,0
1604082779.728266099,0.000006095,0
1604082780.728541261,0.000005701,0
1604082781.728821968,0.000005736,0
1604082782.729082608,0.000006114,0
1604082783.729340923,0.000005706,0
1604082784.729631598,0.000005789,0
1604082785.729928093,0.000005691,0
1604082786.732317859,0.000010300,0
1604082787.732729144,0.000005618,0
1604082788.733038990,0.000006895,0
1604082789.733288768,0.000006315,0
1604082790.736782882,0.000008156,0
1604082791.737296668,0.000005618,0
1604082792.737752643,0.000005926,0
1604082793.738005660,0.000006075,0
1604082794.738250551,0.000005697,0
1604082795.738529038,0.000005609,0
1604082796.738806009,0.000005587,0
1604082797.739126537,0.000005740,0
1604082798.739404920,0.000005807,0
1604082799.739648638,0.000006503,0
1604082800.739923542,0.000005727,0
1604082801.740191874,0.000005661,0
1604082802.740477224,0.000005670,0
1604082803.741972901,0.000002380,0
1604082804.742171845,0.000009048,0
1604082805.742421474,0.000005753,0
1604082806.742702659,0.000005662,0
1604082807.742964638,0.000005800,0
1604082808.743287617,0.000005723,0
1604082809.743612094,0.000005807,0
1604082810.743864126,0.000005709,0
1604082811.744149415,0.000006651,0
1604082812.744438314,0.000005777,0
1604082813.744838968,0.000008230,0
1604082814.745913949,0.000006110,0
1604082815.746155711,0.000005749,0
1604082816.746394784,0.000007933,0
1604082817.746791278,0.000008762,0
1604082818.747128400,0.000008216,0
1604082819.747439832,0.000006745,0
1604082820.747693335,0.000006621,0
1604082821.747981111,0.000006158,0
1604082822.748382031,0.000007600,0
1604082823.748872223,0.000007056,0
1604082824.749365428,0.000007351,0
1604082825.750012239,0.000007428,0
1604082826.750450749,0.000008519,0
1604082827.750765162,0.000006580,0
1604082828.751134421,0.000006506,0
1604082829.751469896,0.000006230,0
1604082830.751709644,0.000007484,0
1604082831.752036607,0.000006560,0
1604082832.752419600,0.000006118,0
1604082833.752717217,0.000009638,0
1604082834.753109789,0.000009881,0
1604082835.753614279,0.000008367,0
1604082836.753898357,0.000009687,0
1604082837.758903141,0.000009138,0
1604082838.759219314,0.000006209,0
1604082839.759453147,0.000006557,0
1604082840.759688249,0.000006147,0
1604082841.759973121,0.000006276,0
1604082842.760270633,0.000006286,0
1604082843.760698265,0.000006744,0
1604082844.761119796,0.000008681,0
1604082845.761546133,0.000008622,0
1604082846.761771055,0.000006724,0
1604082847.762172671,0.000008732,0
1604082848.762507704,0.000009167,0
1604082849.762857431,0.000006677,0
1604082850.763067576,0.000007817,0
1604082851.763285841,0.000006738,0
1604082852.763691039,0.000009265,0
1604082853.763955117,0.000008293,0
1604082854.764171907,0.000007548,0
1604082855.764418280,0.000007632,0
1604082856.764636698,0.000006048,0
1604082857.764933902,0.000008421,0
1604082858.765318520,0.000006627,0
1604082859.765529814,0.000009706,0
1604082860.766006744,0.000008346,0
1604082861.766300498,0.000007715,0
1604082862.766636536,0.000008576,0
1604082863.766874657,0.000007819,0
1604082864.767187006,0.000007384,0
1604082865.767422289,0.000006781,0
1604082866.767663580,0.000007282,0
1604082867.767922765,0.000007187,0
1604082868.768184310,0.000005715,0
1604082869.768510787,0.000005708,0
1604082870.768805178,0.000006134,0
1604082871.769069464,0.000006446,0
1604082872.769440127,0.000005686,0
1604082873.769719963,0.000005652,0
1604082874.769999287,0.000006025,0
1604082875.770255432,0.000005767,0
1604082876.770524990,0.000005811,0
1604082877.770819295,0.000010348,0
1604082878.771127291,0.000012594,0
1604082879.771330200,0.000004084,0
1604082880.771587059,0.000003134,0
1604082881.771762758,0.000003130,0
1604082882.771904555,0.000002857,0
1604082883.774233660,0.000006471,0
1604082884.774688355,0.000003045,0
1604082885.774817835,0.000003181,0
1604082886.774927690,0.000003149,0
1604082887.775056513,0.000005298,0
1604082888.775323451,0.000007124,0
1604082889.775640950,0.000008477,0
1604082890.775791832,0.000003694,0
1604082891.775917895,0.000003489,0
1604082892.776096604,0.000008460,0
1604082893.776288630,0.000002728,0
