QoS 1;BE 1;BE 2;BE 3;QoS 2;
0;0.13008;5.662815999999999;5.6194560000000005;;
0;0.82384;5.662815999999999;5.263904;;
0;1.7257280000000002;5.229216;5.784224;;
0;1.231424;5.810239999999999;5.931648;;
0;5.0644480000000005;5.905632;5.5067200000000005;;
0;6.018368000000001;5.454688;5.697504;;
0;5.818912;5.784224;5.862272;;
0;5.576096;5.8536;5.818912;;
0;5.975008;5.784224;5.437344;;
0;5.428672;5.437344;0.242816;;
0.797824;6.018368000000001;0.23414400000000002;4.977728;;
2.0986239999999996;5.775551999999999;4.171232;4.665536;;
1.855808;5.341952;6.252511999999999;5.818912;;
1.309472;4.674207999999999;5.862272;6.33056;;
0.9105599999999999;1.222752;6.33056;6.33056;;
0.43360000000000004;0.6330560000000001;6.33056;6.339232;;
1.34416;0.82384;6.339232;5.220544;;
5.341952;1.092672;5.220544;5.818912;;
2.6969920000000003;3.798336;5.818912;5.94032;;
0;3.9284160000000004;5.89696;6.053056;;
0;0.242816;6.053056;2.8097280000000002;;
0;6.3218879999999995;2.853088;1.9512;;
0;4.908352;1.942528;1.5696320000000001;;
0;5.8536;1.5783040000000002;3.5295039999999998;;
0;5.740863999999999;3.5295039999999998;5.8536;;
0;4.908352;5.818912;6.1744639999999995;;
0;5.818912;6.1744639999999995;5.94032;;
0;5.6194560000000005;5.975008;5.8536;;
0;5.584768;5.8362560000000006;5.628127999999999;;
0;5.1771840000000005;5.671488;0.13875200000000001;;
0;5.628127999999999;0.13008;0.641728;;
0;5.662815999999999;0.6070399999999999;1.751744;;
2.12464;5.263904;1.64768;1.508928;;
2.2633919999999996;5.775551999999999;1.639008;4.535456;;
2.176672;5.94032;4.8823360000000005;5.818912;;
2.020576;5.42;5.8015680000000005;6.018368000000001;;
2.185344;5.784224;5.9923519999999995;6.1311040000000006;;
2.228704;5.8536;6.1397759999999995;6.0617280000000004;;
1.7083840000000001;5.818912;6.053056;;;
2.011904;5.437344;;;;
1.90784;0.242816;;;;
2.003232;4.101856;;;;
1.7170560000000001;6.252511999999999;;;;
2.029248;5.8536;;;;
2.159328;6.295872;;;;
2.0986239999999996;6.37392;;;;
2.03792;6.33056;;;;
1.9772159999999999;5.229216;;;;
2.046592;5.775551999999999;;;;
2.185344;5.94032;;;;
2.150656;6.018368000000001;;;;
1.786432;2.8877759999999997;;;;
2.2633919999999996;1.933856;;;;
2.350112;1.5869760000000002;;;;
1.959872;3.486144;;;;
2.141984;5.8536;;;;
1.9772159999999999;6.1744639999999995;;;;
1.8731520000000002;5.9836800000000006;;;;
1.7083840000000001;5.818912;;;;
0;5.6888320000000006;;;;
0;0.13008;;;;
0;0.572352;;;;
0;1.639008;;;;
0;1.6650239999999998;;;;
0;4.864992;;;;
0;5.818912;;;;
0;6.018368000000001;;;;
0;6.1311040000000006;;;;
0;6.018368000000001;;;;
0;;;;;
0;;;;;
1.023296;;;;;
2.5929279999999997;;;;;
1.248768;;;;;
0.485632;;;;;
0.49430399999999997;;;;;
1.12736;;;;;
3.8243519999999998;;;;;
3.9024;;;;;
0.13008;;;;;
2.523552;;;;;
3.885056;;;;;
1.8731520000000002;;;;;
2.2200320000000002;;;;;
2.1159679999999996;;;;;
2.055264;;;;;
2.2460479999999996;;;;;
2.306752;;;;;
2.107296;;;;;
2.141984;;;;;
2.0899520000000003;;;;;
2.046592;;;;;
2.133312;;;;;
1.9945599999999999;;;;;
1.8211199999999999;;;;;
2.12464;;;;;
2.289408;;;;;
1.968544;;;;;
1.751744;;;;;
0;;;;;
0;;;;;
0;;;;;
0;;;;;
0;;;;;
0;;;;;
0;;;;;
2.011904;;;;;
2.020576;;;;;
2.0899520000000003;;;;;
2.2633919999999996;;;;;
2.159328;;;;;
1.9858879999999999;;;;;
1.9858879999999999;;;;;
2.34144;;;;;
2.133312;;;;;
1.8818240000000002;;;;;
2.228704;;;;;
2.141984;;;;;
1.8731520000000002;;;;;
2.029248;;;;;
2.21136;;;;;
2.150656;;;;;
1.855808;;;;;
2.0986239999999996;;;;;
1.925184;;;;;
2.2460479999999996;;;;;
2.159328;;;;;
2.12464;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
