Time;Hour;STA 6;STA 5;STA 4;STA 3;STA 2;STA 1
233;2021-01-06T17:53:02+01:00;0;0;0;0;0;0
234;2021-01-06T17:53:03+01:00;0;0;0;0;0;0
235;2021-01-06T17:53:04+01:00;0;0;0;0;0;0
236;2021-01-06T17:53:05+01:00;0;0;0;0;0;0
237;2021-01-06T17:53:06+01:00;0;0;0;0;0;0
238;2021-01-06T17:53:07+01:00;0;0;0;0;0;0
239;2021-01-06T17:53:08+01:00;0;0;0;0;0;0
240;2021-01-06T17:53:09+01:00;0;0;0;0;0;0
241;2021-01-06T17:53:10+01:00;0;0;0;0;0;0
242;2021-01-06T17:53:11+01:00;0;0;0;0;0;0
243;2021-01-06T17:53:12+01:00;0;0;0;0;0;0
244;2021-01-06T17:53:13+01:00;0;0;0;0;0;0
245;2021-01-06T17:53:14+01:00;0;0;0;0;0;0
246;2021-01-06T17:53:15+01:00;0;0;0;0;0;0
247;2021-01-06T17:53:16+01:00;0;0;0;0;0;0
248;2021-01-06T17:53:17+01:00;0;0;0;0;0;0
249;2021-01-06T17:53:18+01:00;0;0;0;0;0;0
250;2021-01-06T17:53:19+01:00;0;0;0;0;0;0
251;2021-01-06T17:53:20+01:00;0;0;0;0;0;0
252;2021-01-06T17:53:21+01:00;0;0;0;0;0;0
253;2021-01-06T17:53:22+01:00;0;0;0;0;0;0
254;2021-01-06T17:53:23+01:00;0;0;0;0;0;0
255;2021-01-06T17:53:24+01:00;1;0;1;1;1;1
256;2021-01-06T17:53:25+01:00;1;0;1;1;1;1
257;2021-01-06T17:53:26+01:00;1;0;1;1;1;1
258;2021-01-06T17:53:27+01:00;1;0;1;1;1;1
259;2021-01-06T17:53:28+01:00;1;0;1;1;1;1
260;2021-01-06T17:53:29+01:00;1;0;1;1;1;1
261;2021-01-06T17:53:30+01:00;1;0;1;1;1;1
262;2021-01-06T17:53:31+01:00;1;0;1;1;1;1
263;2021-01-06T17:53:32+01:00;1;0;1;1;1;1
264;2021-01-06T17:53:33+01:00;1;0;1;1;1;1
265;2021-01-06T17:53:34+01:00;1;0;1;1;1;1
266;2021-01-06T17:53:35+01:00;1;0;1;1;1;1
267;2021-01-06T17:53:36+01:00;1;0;1;1;1;1
268;2021-01-06T17:53:37+01:00;1;0;1;1;1;1
269;2021-01-06T17:53:38+01:00;1;0;1;1;1;1
270;2021-01-06T17:53:39+01:00;1;0;1;1;1;1
271;2021-01-06T17:53:40+01:00;1;0;1;1;1;1
272;2021-01-06T17:53:41+01:00;1;0;1;1;1;1
273;2021-01-06T17:53:42+01:00;1;0;1;1;1;1
274;2021-01-06T17:53:43+01:00;1;0;1;1;1;1
275;2021-01-06T17:53:44+01:00;0;0;1;1;1;1
276;2021-01-06T17:53:45+01:00;0;0;1;1;1;1
277;2021-01-06T17:53:46+01:00;0;0;1;1;1;1
278;2021-01-06T17:53:47+01:00;0;0;1;1;1;1
279;2021-01-06T17:53:48+01:00;0;0;1;1;1;1
280;2021-01-06T17:53:49+01:00;0;0;1;1;1;1
281;2021-01-06T17:53:50+01:00;0;0;1;1;1;1
282;2021-01-06T17:53:51+01:00;0;0;1;1;1;1
283;2021-01-06T17:53:52+01:00;0;0;1;1;1;1
284;2021-01-06T17:53:53+01:00;0;0;1;1;1;1
285;2021-01-06T17:53:54+01:00;0;0;1;1;1;1
286;2021-01-06T17:53:55+01:00;0;0;1;1;1;1
287;2021-01-06T17:53:56+01:00;0;0;1;1;1;1
288;2021-01-06T17:53:57+01:00;0;0;1;1;1;1
289;2021-01-06T17:53:58+01:00;0;0;1;1;1;1
290;2021-01-06T17:53:59+01:00;0;0;1;1;1;1
291;2021-01-06T17:54:00+01:00;0;0;1;1;1;1
292;2021-01-06T17:54:01+01:00;0;0;1;1;1;1
293;2021-01-06T17:54:02+01:00;0;0;1;1;1;1
294;2021-01-06T17:54:03+01:00;0;0;1;1;1;1
295;2021-01-06T17:54:04+01:00;0;0;0;0;0;0
296;2021-01-06T17:54:05+01:00;0;0;0;0;0;0
297;2021-01-06T17:54:06+01:00;0;0;0;0;0;0
298;2021-01-06T17:54:07+01:00;0;0;0;0;0;0
299;2021-01-06T17:54:08+01:00;0;0;0;0;0;0
300;2021-01-06T17:54:09+01:00;0;0;0;0;0;0
301;2021-01-06T17:54:10+01:00;0;0;0;0;0;0
302;2021-01-06T17:54:11+01:00;0;0;0;0;0;0
303;2021-01-06T17:54:12+01:00;0;0;0;0;0;0
304;2021-01-06T17:54:13+01:00;0;0;0;0;0;0
305;2021-01-06T17:54:14+01:00;0;0;0;0;0;0
306;2021-01-06T17:54:15+01:00;0;0;0;0;0;0
307;2021-01-06T17:54:16+01:00;0;0;0;0;0;0
308;2021-01-06T17:54:17+01:00;0;0;0;0;0;0
309;2021-01-06T17:54:18+01:00;0;0;0;0;0;0
310;2021-01-06T17:54:19+01:00;0;0;0;0;0;0
311;2021-01-06T17:54:20+01:00;0;0;0;0;0;0
312;2021-01-06T17:54:21+01:00;0;0;0;0;0;0
313;2021-01-06T17:54:22+01:00;0;0;0;0;0;0
314;2021-01-06T17:54:23+01:00;0;0;0;0;0;0
315;2021-01-06T17:54:24+01:00;1;0;1;1;1;1
316;2021-01-06T17:54:25+01:00;1;0;1;1;1;1
317;2021-01-06T17:54:26+01:00;1;0;1;1;1;1
318;2021-01-06T17:54:27+01:00;1;0;1;1;1;1
319;2021-01-06T17:54:28+01:00;1;0;1;1;1;1
320;2021-01-06T17:54:29+01:00;1;0;1;1;1;1
321;2021-01-06T17:54:30+01:00;1;0;1;1;1;1
322;2021-01-06T17:54:31+01:00;1;0;1;1;1;1
323;2021-01-06T17:54:32+01:00;1;0;1;1;1;1
324;2021-01-06T17:54:33+01:00;1;0;1;1;1;1
325;2021-01-06T17:54:34+01:00;1;0;1;1;1;1
326;2021-01-06T17:54:35+01:00;1;0;1;1;1;1
327;2021-01-06T17:54:36+01:00;1;0;1;1;1;1
328;2021-01-06T17:54:37+01:00;1;0;1;1;1;1
329;2021-01-06T17:54:38+01:00;1;0;1;1;1;1
330;2021-01-06T17:54:39+01:00;1;0;1;1;1;1
