Datetime;STA 6;STA 3;STA 4;STA 1;STA 2;STA 5
2021-01-06T17:53:47+01:00;null;null;-51;null;-41;null
2021-01-06T17:53:48+01:00;-74;null;null;null;-42;null
2021-01-06T17:53:50+01:00;-74;null;null;-41;-42;null
2021-01-06T17:53:51+01:00;-75;null;null;-41;-42;null
2021-01-06T17:53:52+01:00;-75;null;null;-41;-42;null
2021-01-06T17:53:53+01:00;-75;null;null;-41;-42;null
2021-01-06T17:53:54+01:00;-74;null;null;-41;-42;null
2021-01-06T17:53:55+01:00;-74;null;0;-41;-42;null
2021-01-06T17:53:56+01:00;-73;null;-51;-41;-42;null
2021-01-06T17:53:58+01:00;-73;null;-51;-41;-42;null
2021-01-06T17:53:59+01:00;-73;null;-51;-41;-42;null
2021-01-06T17:54:00+01:00;-73;null;-51;-41;-42;null
2021-01-06T17:54:01+01:00;-73;null;null;-41;-42;null
2021-01-06T17:54:03+01:00;null;null;null;-41;-42;null
2021-01-06T17:54:04+01:00;null;null;null;-41;-42;null
2021-01-06T17:54:05+01:00;null;null;null;-41;-42;null
2021-01-06T17:54:07+01:00;null;null;null;-41;-42;null
2021-01-06T17:54:08+01:00;null;null;null;-41;-42;null
2021-01-06T17:54:09+01:00;null;-53;null;-41;-42;null
2021-01-06T17:54:10+01:00;null;-53;null;-41;-42;null
2021-01-06T17:54:11+01:00;null;-53;null;-41;null;null
2021-01-06T17:54:12+01:00;null;-53;null;null;null;null
2021-01-06T17:54:14+01:00;null;-53;null;null;null;null
2021-01-06T17:54:27+01:00;null;null;-51;-38;null;null
2021-01-06T17:54:28+01:00;null;null;-51;-38;null;null
2021-01-06T17:54:29+01:00;null;null;-51;-38;null;null
2021-01-06T17:54:30+01:00;null;null;-51;-38;null;null
2021-01-06T17:54:31+01:00;null;null;-51;-38;null;null
2021-01-06T17:54:32+01:00;null;null;-51;-38;null;null
2021-01-06T17:54:33+01:00;null;null;-51;null;null;null
2021-01-06T17:54:34+01:00;null;null;-51;null;null;null
2021-01-06T17:54:35+01:00;null;null;-51;null;null;null
2021-01-06T17:54:36+01:00;null;null;-51;null;null;null
2021-01-06T17:54:37+01:00;null;null;-51;-42;null;null
2021-01-06T17:54:39+01:00;null;null;-51;-41;-43;null
2021-01-06T17:54:40+01:00;null;null;-51;-40;-42;null
2021-01-06T17:54:41+01:00;null;null;-51;-40;-42;null
2021-01-06T17:54:42+01:00;null;null;-51;-40;-42;null
2021-01-06T17:54:43+01:00;null;null;-51;-40;-42;null
2021-01-06T17:54:44+01:00;null;null;-51;-40;-42;null
2021-01-06T17:54:45+01:00;null;null;-51;-40;-42;null
2021-01-06T17:54:46+01:00;null;null;null;null;-42;null
2021-01-06T17:55:09+01:00;null;-49;null;null;null;null
2021-01-06T17:55:10+01:00;-70;-49;null;null;null;null
2021-01-06T17:55:11+01:00;-71;-49;null;null;null;null
2021-01-06T17:55:12+01:00;-71;-49;null;null;null;null
2021-01-06T17:55:13+01:00;-70;-49;null;null;null;null
2021-01-06T17:55:14+01:00;-70;-49;null;null;null;null
2021-01-06T17:55:15+01:00;-71;-49;null;null;null;null
2021-01-06T17:55:16+01:00;-71;-49;null;null;null;null
2021-01-06T17:55:18+01:00;-71;-49;null;null;null;null
2021-01-06T17:55:19+01:00;-71;null;null;null;null;null
2021-01-06T17:55:20+01:00;-71;null;null;null;null;null
