Time;QoS 1;BE 1;BE 2;BE 3;QoS 2;;;;;;
205;15.056;584.811;;;;;;;;;
206;20.183;88.613;;;;;;;;;
207;707.858;99.259;;;;;;;;;
208;607.905;903.589;;;;;;;;;
209;47.246;52.813;;;;;;;;;
210;19.761;101.346;;;;;;;;;
211;20.534;141.53;;;;;;;;;
212;24.081;992.306;;;;;;;;;
213;16.25;27.198;;;;;;;;;
214;20.337;23.137;;;;;;;;;
215;14.563;994.719;;;;;;;;;
216;15.961;314.442;;;;;;;;;
217;22.193;361.791;;;;;;;;;
218;24.093;111.827;;;;;;;;;
219;20.338;34.961;;;;;;;;;
220;21.036;231.858;;;;;;;;;
221;20.588;230.558;;;;;;;;;
222;20.585;6.767;;;;;;;;;
223;19.641;902.339;;;;;;;;;
224;25.164;175.399;;;;;;;;;
225;25.182;24.542;;;;;;;;;
226;23.439;954.141;;;;;;;;;
227;797.691;738.394;;;;;;;;;
228;40.642;742.205;;;;;;;;;
229;532.315;768.546;;;;;;;;;
230;15.76;925.759;;;;;;;;;
231;17.915;;;;;;;;;;
232;16.783;;;;;;;;;;
233;16.477;;;;;;;;;;
234;13.609;;;;;;;;;;
235;17.669;;;;;;;;;;
236;16.379;;;;;;;;;;
237;15.884;;;;;;;;;;
238;20.771;;;;;;;;;;
239;32.801;;;;;;;;;;
240;21.497;;;;;;;;;;
241;61.763;;;;;;;;;;
242;48.219;;;;;;;;;;
243;23.485;;;;;;;;;;
244;26.449;;;;;;;;;;
245;23.792;;;;;;;;;;
246;27.438;;;;;;;;;;
247;770.151;;;;;;;;;;
248;737.815;;;;;;;;;;
249;247.876;;;;;;;;;;
250;387.533;;;;;;;;;;
251;719.682;;;;;;;;;;
252;39.999;;;;;;;;;;
253;390.612;;;;;;;;;;
254;638.827;;;;;;;;;;
255;31.531;;;;;;;;;;
256;440.081;;;;;;;;;;
257;244.459;;;;;;;;;;
258;822.414;;;;;;;;;;
259;164.187;;;;;;;;;;
260;25.24;;;;;;;;;;
261;28.357;;;;;;;;;;
262;37.091;;;;;;;;;;
263;48.965;;;;;;;;;;
264;25.378;;;;;;;;;;
265;28.472;;;;;;;;;;
266;35.679;;;;;;;;;;
267;786.074;;;;;;;;;;
268;679.096;;;;;;;;;;
269;147.319;;;;;;;;;;
270;29.963;;;;;;;;;;
271;42.625;;;;;;;;;;
272;29.637;;;;;;;;;;
273;30.999;;;;;;;;;;
274;21.477;;;;;;;;;;
