Time;QoS 1;BE 1;BE 2;BE 3;QoS 2;;;;;;;
43;2.055264;3.668256;4.16256;3.85904;2.185344;;;;;;;
44;2.358784;3.3040320000000003;4.20592;0;1.9858879999999999;;;;;;;
45;1.699712;4.674207999999999;4.223264;0;2.289408;;;;;;;
46;2.25472;4.301312;4.4400640000000005;0;2.1159679999999996;;;;;;;
47;2.029248;4.344671999999999;4.50944;0;2.228704;;;;;;;
48;2.0899520000000003;4.301312;4.344671999999999;0;2.0899520000000003;;;;;;;
49;2.150656;4.344671999999999;4.301312;0;1.8818240000000002;;;;;;;
50;2.020576;4.171232;3.980448;0;2.0986239999999996;;;;;;;
51;1.933856;2.419488;3.9110720000000003;2.653632;2.011904;;;;;;;
52;2.2460479999999996;2.749024;4.067168000000001;4.231935999999999;2.0899520000000003;;;;;;;
53;2.046592;2.6969920000000003;3.6162240000000003;4.223264;1.942528;;;;;;;
54;2.159328;6.1744639999999995;3.3040320000000003;3.8416959999999998;1.9772159999999999;;;;;;;
55;2.0899520000000003;6.642752000000001;4.760928;3.6422399999999997;1.933856;;;;;;;
56;1.916512;4.1192;4.1192;4.171232;2.150656;;;;;;;
57;2.12464;3.7809920000000004;4.2926400000000005;4.24928;2.376128;;;;;;;
58;2.055264;4.760928;4.396704;3.9110720000000003;2.34144;;;;;;;
59;2.523552;3.7636480000000003;4.1192;4.058496;1.968544;;;;;;;
60;1.9858879999999999;4.223264;4.309984;4.344671999999999;2.011904;;;;;;;
61;2.29808;3.997792;2.168;4.544128;2.08128;;;;;;;
62;1.812448;4.2926400000000005;1.4222080000000001;5.5414080000000006;2.168;;;;;;;
63;1.743072;3.564192;5.584768;5.2118720000000005;2.1159679999999996;;;;;;;
64;2.280736;3.1045760000000002;5.185855999999999;0.225472;2.0899520000000003;;;;;;;
65;1.77776;4.578816;0.21680000000000002;2.64496;1.933856;;;;;;;
66;2.0899520000000003;4.3273280000000005;2.983168;3.798336;2.011904;;;;;;;
67;2.055264;4.16256;4.388032;4.6221760000000005;2.29808;;;;;;;
68;2.020576;4.301312;5.341952;5.255232;2.393472;;;;;;;
69;2.462848;4.283968;5.818912;4.353344;1.743072;;;;;;;
70;1.968544;3.893728;4.353344;4.969055999999999;1.942528;;;;;;;
71;2.0726080000000002;3.9024;4.9864;4.925696;2.029248;;;;;;;
72;2.1159679999999996;3.893728;4.951712000000001;5.0297600000000005;1.9512;;;;;;;
73;2.2373760000000003;4.388032;5.0297600000000005;4.951712000000001;1.9772159999999999;;;;;;;
74;1.8818240000000002;3.893728;4.908352;5.099136000000001;0.225472;;;;;;;
75;2.176672;3.85904;5.099136000000001;3.7636480000000003;4.257952;;;;;;;
76;2.107296;4.023808;3.798336;4.708895999999999;2.011904;;;;;;;
77;2.055264;3.876384;4.674207999999999;5.229216;2.03792;;;;;;;
78;2.21136;4.700224;5.229216;4.708895999999999;2.03792;;;;;;;
79;2.350112;4.318656;4.708895999999999;4.1192;2.029248;;;;;;;
80;2.12464;4.283968;4.1192;5.142496;2.003232;;;;;;;
81;2.063936;4.110528;5.185855999999999;3.937088;2.2373760000000003;;;;;;;
82;2.133312;3.9891199999999998;3.9110720000000003;4.648192;2.202688;;;;;;;
83;2.107296;3.5988800000000003;4.665536;4.752256;1.959872;;;;;;;
84;2.306752;3.312704;4.752256;0.6850879999999999;1.855808;;;;;;;
85;2.176672;5.15984;1.231424;3.3820799999999998;2.003232;;;;;;;
86;2.168;4.257952;5.012416;0;2.055264;;;;;;;
87;2.055264;4.136544;5.714848;0;2.202688;;;;;;;
88;2.1159679999999996;4.448736;7.475264;0;2.228704;;;;;;;
89;2.011904;3.7463040000000003;7.249792;0;1.847136;;;;;;;
90;1.9772159999999999;4.067168000000001;6.1311040000000006;0;2.29808;;;;;;;
91;2.488864;2.159328;7.275808;0;2.159328;;;;;;;
92;2.2460479999999996;3.3473919999999997;8.082304;0;2.0899520000000003;;;;;;;
93;2.202688;5.5414080000000006;6.295872;0;1.656352;;;;;;;
94;1.959872;5.194528;7.284479999999999;0;0.251488;;;;;;;
95;0;0.21680000000000002;7.041664;0;3.572864;;;;;;;
96;0;3.0091840000000003;7.284479999999999;0;1.86448;;;;;;;
97;0;4.388032;7.32784;0;2.315424;;;;;;;
98;0;5.307264;6.7294719999999995;0;2.2373760000000003;;;;;;;
99;0;5.8449279999999995;5.714848;0;2.2460479999999996;;;;;;;
100;0;4.370688;5.975008;0;2.34144;;;;;;;
101;0;4.94304;6.3565760000000004;0;2.0986239999999996;;;;;;;
102;1.3701759999999998;4.951712000000001;6.304544;0.9886079999999999;2.2460479999999996;;;;;;;
103;1.942528;5.021088;5.9143040000000004;10.44976;2.506208;;;;;;;
104;2.011904;4.908352;4.8823360000000005;0.442272;2.12464;;;;;;;
105;2.2460479999999996;5.116479999999999;0.156096;3.33872;1.786432;;;;;;;
106;1.899168;3.789664;2.6796480000000003;0;2.159328;;;;;;;
107;2.020576;4.674207999999999;5.46336;0;2.107296;;;;;;;
108;2.133312;5.237888;1.942528;0;2.350112;;;;;;;
109;2.133312;4.7349120000000005;1.786432;0;1.942528;;;;;;;
110;2.029248;4.1192;1.3788479999999999;0;2.0726080000000002;;;;;;;
111;2.280736;5.142496;2.853088;0;;;;;;;;
112;2.2200320000000002;3.919744;1.5869760000000002;0;;;;;;;;
113;2.159328;4.674207999999999;1.456896;0;;;;;;;;
114;1.812448;4.752256;1.508928;0;;;;;;;;
115;2.0899520000000003;0.9886079999999999;3.278016;0;;;;;;;;
116;2.029248;4.9864;5.237888;0;;;;;;;;
117;1.942528;5.732192;5.454688;0;;;;;;;;
118;2.168;7.4665919999999995;6.6167359999999995;0;;;;;;;;
119;2.29808;7.249792;7.1717439999999995;0;;;;;;;;
120;2.063936;6.1311040000000006;6.920256;0;;;;;;;;
121;2.107296;7.267136000000001;6.89424;0;;;;;;;;
122;2.0899520000000003;8.099648;7.275808;0;;;;;;;;
123;2.1159679999999996;6.261184;6.5386880000000005;0;;;;;;;;
124;2.08128;7.301824;5.107808;1.240096;;;;;;;;
125;2.21136;7.06768;0.667744;0.615712;;;;;;;;
126;2.029248;7.267136000000001;3.477472;3.0872319999999998;;;;;;;;
127;1.925184;7.145728;4.4747520000000005;3.8416959999999998;;;;;;;;
128;1.9858879999999999;6.9115839999999995;4.786944;4.336;;;;;;;;
129;2.063936;5.714848;4.630848;4.59616;;;;;;;;
130;2.029248;5.975008;4.231935999999999;4.24928;;;;;;;;
131;2.21136;6.37392;4.4400640000000005;4.457408;;;;;;;;
132;2.03792;6.295872;4.5528;4.5528;;;;;;;;
133;1.9945599999999999;5.89696;4.864992;4.864992;;;;;;;;
134;1.5175999999999998;4.891008;5.263904;5.237888;;;;;;;;
135;1.803776;0.156096;4.257952;4.266624;;;;;;;;
136;2.141984;2.939808;3.937088;3.9544319999999997;;;;;;;;
137;2.324096;5.454688;3.9544319999999997;3.9544319999999997;;;;;;;;
138;2.0726080000000002;1.9858879999999999;4.041152;4.041152;;;;;;;;
139;2.289408;1.769088;4.1192;4.1192;;;;;;;;
140;1.959872;1.352832;3.997792;3.997792;;;;;;;;
141;2.011904;2.8617600000000003;3.798336;3.77232;;;;;;;;
142;2.168;1.5696320000000001;4.16256;4.1799040000000005;;;;;;;;
143;2.141984;1.508928;3.833024;3.8243519999999998;;;;;;;;
144;2.011904;1.465568;3.720288;3.720288;;;;;;;;
145;1.8731520000000002;3.278016;0.225472;0.23414400000000002;;;;;;;;
146;2.0899520000000003;5.246560000000001;2.6796480000000003;2.73168;;;;;;;;
147;1.942528;5.454688;5.263904;1.1186880000000001;;;;;;;;
148;2.107296;6.6167359999999995;6.7294719999999995;0;;;;;;;;
149;2.159328;7.180416;6.252511999999999;0;;;;;;;;
150;1.855808;6.928928;5.515391999999999;0;;;;;;;;
