Time;Hour;STA 4;STA 3;STA 2;STA 1
174;2020-06-28T18:44:54+02:00;0;1;1;1
175;2020-06-28T18:44:55+02:00;0;1;1;1
176;2020-06-28T18:44:56+02:00;0;1;1;1
177;2020-06-28T18:44:57+02:00;0;1;1;1
178;2020-06-28T18:44:58+02:00;0;1;1;1
179;2020-06-28T18:44:59+02:00;0;1;1;1
180;2020-06-28T18:45:00+02:00;0;1;1;1
181;2020-06-28T18:45:01+02:00;0;1;1;1
182;2020-06-28T18:45:02+02:00;0;1;1;1
183;2020-06-28T18:45:03+02:00;0;1;1;1
184;2020-06-28T18:45:04+02:00;0;0;1;1
185;2020-06-28T18:45:05+02:00;0;0;1;1
186;2020-06-28T18:45:06+02:00;0;0;1;1
187;2020-06-28T18:45:07+02:00;0;0;1;1
188;2020-06-28T18:45:08+02:00;0;0;1;1
189;2020-06-28T18:45:09+02:00;0;0;1;1
190;2020-06-28T18:45:10+02:00;0;0;1;1
191;2020-06-28T18:45:11+02:00;0;0;1;1
192;2020-06-28T18:45:12+02:00;0;0;1;1
193;2020-06-28T18:45:13+02:00;0;0;1;1
194;2020-06-28T18:45:14+02:00;0;0;1;1
195;2020-06-28T18:45:15+02:00;0;0;1;1
196;2020-06-28T18:45:16+02:00;0;0;1;1
197;2020-06-28T18:45:17+02:00;0;0;1;1
198;2020-06-28T18:45:18+02:00;0;0;1;1
199;2020-06-28T18:45:19+02:00;0;0;1;1
200;2020-06-28T18:45:20+02:00;0;0;1;1
201;2020-06-28T18:45:21+02:00;0;0;1;1
202;2020-06-28T18:45:22+02:00;0;0;1;1
203;2020-06-28T18:45:23+02:00;0;1;1;1
204;2020-06-28T18:45:24+02:00;0;1;1;1
205;2020-06-28T18:45:25+02:00;0;1;1;1
206;2020-06-28T18:45:26+02:00;0;1;1;1
207;2020-06-28T18:45:27+02:00;0;1;1;1
208;2020-06-28T18:45:28+02:00;0;1;1;1
209;2020-06-28T18:45:29+02:00;0;1;1;1
210;2020-06-28T18:45:30+02:00;0;1;1;1
