Time (sec), Single Slice Throughput (ms), Single Slice Stdev, Static Slices Throughput (ms), Static Slices Stdev, Adaptive Slices Throughput (ms), Adaptive Slices Stdev
31,28.92078288428589,3.5837581033908923,36.861702918927925,0.44054906929256965,34.98261494047657,2.5874270123571055
32,29.219000383876494,3.9289484737119595,36.95443106426599,0.3288865516171762,34.22856728041068,3.039753974960185
33,29.517217883467097,4.223067130062063,36.9909412679064,0.21050398189811415,33.47451962034478,3.2456950858430003
34,29.8154353830577,4.476192776389459,36.92467416590691,0.2750098250283656,32.720471960278886,3.2523953680653106
35,30.113652882648303,4.694960433087285,36.85840706390741,0.3119101760972176,31.966424300212992,3.061163397815951
36,30.405923566510626,4.878332164575278,36.792139961907914,0.3305821965374976,30.630974212918847,3.6820965090683573
37,31.25017015258684,4.709017231277022,36.725872859908414,0.3340962376409085,29.591894059191166,4.222307783103868
38,32.09441673866306,4.357006633593199,36.596676760954715,0.43216993266832093,28.552813905463488,4.441015501381413
39,32.938663324739274,3.7714871430330263,36.477529822302856,0.4878682576875488,27.51373375173581,4.386575168265656
40,33.782909910815484,2.8101011866352317,36.358382883651004,0.5079653909838633,26.47465359800813,4.0479812357845875
41,34.62391673623779,0.038657699968833795,36.23923594499915,0.4968008206891918,25.89400988851608,3.2457444216561346
42,34.6147301598556,0.040449204618666135,36.1200890063473,0.45206425191479244,25.771043905523463,3.1434850866696875
43,34.605543583473406,0.03990229984986081,36.145854648166285,0.511240564492808,25.64807792253084,3.032305185329505
44,34.596357007091214,0.03691319417168897,36.22783823168291,0.6142190296118144,25.525111939538224,2.9111828508866155
45,34.587170430709016,0.03077838959771214,36.30982181519954,0.6916474827294107,25.402145956545606,2.7788182835649926
46,34.413473733505896,0.5512789272051654,36.39180539871617,0.7514656258731197,25.426559544561957,2.8138132615937326
47,34.245723852031055,0.7386220220953472,36.473788982232804,0.7976453195789004,26.03237555980656,2.84468808877352
48,34.07797397055621,0.851650443228528,36.438644396708085,0.8106731386155387,26.638191575051163,2.731213443907316
49,33.91022408908137,0.9182300438135662,36.46642880813757,0.7872070161699553,27.244007590295762,2.4534414059502443
50,33.74247420760652,0.9481963400349985,36.49421321956706,0.761905829614774,27.849823605540365,1.9421106794318124
51,33.93343885838904,1.28817759872276,36.521997630996545,0.73457998771685,29.168936480781333,2.7331081400440063
52,34.12764326982547,1.5305982944725247,36.54978204242603,0.7049941005189584,30.029612911786668,3.548703317610508
53,34.3218476812619,1.7155427638815224,36.583437535193305,0.6674893781281324,30.890289342792,4.010863965046816
54,34.516052092698324,1.8602335963107672,36.47218044748974,0.6411902754627735,31.750965773797333,4.236871916195784
55,34.710256504134755,1.9735443530494354,36.36092335978617,0.5911649192406122,32.61164220480267,4.2644409833918715
