sep=;
"Time";"APP: 3";"APP: 4";"APP: 2";"APP: 1"
"2020-10-09T12:39:55+02:00";null;null;null;31.5
"2020-10-09T12:39:56+02:00";null;2.8;null;null
"2020-10-09T12:39:57+02:00";2.6;null;null;null
"2020-10-09T12:40:01+02:00";null;2.8;null;null
"2020-10-09T12:40:02+02:00";2.6;null;null;110.7
"2020-10-09T12:40:06+02:00";null;2.8;null;null
"2020-10-09T12:40:07+02:00";1.9;null;null;115.6
"2020-10-09T12:40:11+02:00";null;2.8;null;null
"2020-10-09T12:40:12+02:00";1.2;null;null;124
"2020-10-09T12:40:16+02:00";null;2.6;null;null
"2020-10-09T12:40:17+02:00";1.2;null;null;null
"2020-10-09T12:40:18+02:00";null;null;null;209.2
"2020-10-09T12:40:21+02:00";null;2.4;null;null
"2020-10-09T12:40:22+02:00";1.2;null;null;null
"2020-10-09T12:40:23+02:00";null;null;null;247
"2020-10-09T12:40:26+02:00";null;2.4;285.7;null
"2020-10-09T12:40:27+02:00";1.2;null;null;null
"2020-10-09T12:40:28+02:00";null;null;null;280.8
"2020-10-09T12:40:31+02:00";null;1.2;null;361
"2020-10-09T12:40:32+02:00";0.9;null;null;null
"2020-10-09T12:40:35+02:00";null;null;null;442.2
"2020-10-09T12:40:36+02:00";null;0;null;null
"2020-10-09T12:40:37+02:00";1.8;null;471.9;null
"2020-10-09T12:40:40+02:00";null;null;null;441.8
"2020-10-09T12:40:41+02:00";null;0;517;null
"2020-10-09T12:40:42+02:00";2.7;null;null;null
"2020-10-09T12:40:43+02:00";null;null;1420.4;null
"2020-10-09T12:40:45+02:00";null;null;null;441.8
"2020-10-09T12:40:46+02:00";null;null;1765.9;null
"2020-10-09T12:40:48+02:00";null;null;1910.3;null
"2020-10-09T12:40:50+02:00";null;null;1709.1;null
"2020-10-09T12:42:11+02:00";2.4;0;null;null
"2020-10-09T12:42:16+02:00";2.4;0.1;null;null
"2020-10-09T12:42:19+02:00";null;null;1559.1;578.7
"2020-10-09T12:42:21+02:00";2.6;0.2;1679.8;772.5
"2020-10-09T12:42:22+02:00";null;null;1679.8;null
"2020-10-09T12:42:25+02:00";null;null;null;762.9
"2020-10-09T12:42:26+02:00";2.8;0.2;null;762.9
"2020-10-09T12:42:27+02:00";null;null;1682.7;null
"2020-10-09T12:42:31+02:00";3;0.2;1150.6;685.7
"2020-10-09T12:42:32+02:00";null;null;1150.6;null
"2020-10-09T12:42:36+02:00";3.2;0.2;null;637.7
"2020-10-09T12:42:37+02:00";null;null;776.5;null
"2020-10-09T12:42:40+02:00";null;null;null;608.8
"2020-10-09T12:42:41+02:00";3.2;0.2;672;608.8
"2020-10-09T12:42:42+02:00";null;null;672;null
"2020-10-09T12:42:46+02:00";3.2;0.2;412;529
"2020-10-09T12:42:51+02:00";2;0.2;271;453
"2020-10-09T12:42:52+02:00";null;null;271;null
"2020-10-09T12:42:55+02:00";null;null;null;454.9
"2020-10-09T12:42:56+02:00";1.1;0.2;253.9;454.9
"2020-10-09T12:43:00+02:00";null;null;null;461.8
"2020-10-09T12:43:01+02:00";1.4;0.2;232.2;461.8
"2020-10-09T12:43:02+02:00";null;null;232.2;null
"2020-10-09T12:43:05+02:00";null;null;null;250.6
"2020-10-09T12:43:06+02:00";2;0.1;197.4;250.6
"2020-10-09T12:43:07+02:00";null;null;197.4;null
"2020-10-09T12:43:11+02:00";2;0.2;null;48.9
"2020-10-09T12:43:12+02:00";null;null;30.1;null
"2020-10-09T12:43:16+02:00";2;0.4;null;45.9
"2020-10-09T12:43:17+02:00";null;null;27.3;null
"2020-10-09T12:43:20+02:00";null;null;null;34.6
"2020-10-09T12:43:21+02:00";2.1;0.4;null;null
"2020-10-09T12:43:22+02:00";null;null;28.3;null
"2020-10-09T12:43:26+02:00";2.2;0.4;25.3;32.4
"2020-10-09T12:43:27+02:00";null;null;25.3;null
"2020-10-09T12:43:30+02:00";null;null;null;28.4
"2020-10-09T12:43:31+02:00";2.2;0.4;27.6;null
"2020-10-09T12:43:32+02:00";null;null;27.6;null
"2020-10-09T12:43:35+02:00";null;null;null;29.1
"2020-10-09T12:43:36+02:00";2.2;0.4;null;29.1
"2020-10-09T12:43:37+02:00";null;null;28.7;null
"2020-10-09T12:43:41+02:00";1.9;0.4;null;27.6
"2020-10-09T12:43:42+02:00";null;null;27.6;null
