queue_delay,packet_loss
1517262751.457465395,0.043049999,15
1517262752.458213913,0.043091820,20
1517262753.458766964,0.043099605,15
1517262754.459248686,0.043072939,12
1517262755.459808584,0.043132728,15
1517262756.460331342,0.043065895,11
1517262757.460792898,0.043094624,13
1517262758.461317950,0.043063461,15
1517262759.461789462,0.043037525,13
1517262760.462269573,0.039132181,12
1517262761.462900985,0.039125767,20
1517262762.463318221,0.039155455,13
1517262763.463638846,0.039155374,8
1517262764.464000224,0.039127303,10
1517262765.464424386,0.039098646,13
1517262766.464795412,0.039074609,9
1517262767.465249069,0.039102626,15
1517262768.465809272,0.039111225,13
1517262769.466177425,0.039103131,13
1517262770.466711939,0.035498368,9
1517262771.467256545,0.035518767,16
1517262772.467631998,0.035521255,7
1517262773.468093289,0.035568751,9
1517262774.468481279,0.035547794,12
1517262775.468970239,0.035522506,15
1517262776.469557424,0.035565679,14
1517262777.470059533,0.035561601,16
1517262778.470547752,0.035541320,10
1517262779.471028643,0.035550401,12
1517262780.471841393,0.071961761,36
1517262781.472563925,0.084170525,34
1517262782.473296762,0.084209250,29
1517262783.474250255,0.084184987,38
1517262784.474860469,0.084238739,25
1517262785.475917347,0.084176926,33
1517262786.476691828,0.084186412,24
1517262787.477551310,0.084177766,33
1517262788.478143391,0.084202090,21
1517262789.478979683,0.084174225,29
1517262790.479717032,0.077475786,24
1517262791.480473589,0.076518093,28
1517262792.481312434,0.076527694,36
1517262793.482054799,0.076525227,26
1517262794.483085462,0.076493297,30
1517262795.483818568,0.076485362,22
1517262796.484681187,0.076541237,30
1517262797.485272936,0.076495053,26
1517262798.485798540,0.076525768,20
1517262799.486272984,0.076494378,15
1517262800.486999256,0.069476401,25
1517262801.487799463,0.069537728,31
1517262802.488376469,0.069499277,18
1517262803.489007662,0.069522872,23
1517262804.489905778,0.069526463,32
1517262805.490617345,0.069554165,23
1517262806.491457988,0.069508899,29
1517262807.492107512,0.069551973,25
1517262808.492827955,0.069559667,22
1517262809.493513488,0.069524514,20
1517262810.494318302,0.063173549,26
1517262811.495005801,0.063195413,18
1517262812.495731409,0.063166640,21
1517262813.496366581,0.063177564,23
1517262814.496916525,0.063181200,19
1517262815.497611959,0.063206996,22
1517262816.498074386,0.063170813,17
1517262817.498721602,0.063180576,19
1517262818.499440643,0.063128664,25
1517262819.500053902,0.063161646,17
1517262820.500575756,0.057392452,21
1517262821.501047853,0.057406753,16
1517262822.501744879,0.057431667,26
1517262823.502243671,0.057379448,17
1517262824.502983450,0.057409118,18
1517262825.503589090,0.057397907,23
1517262826.504057560,0.057431817,13
1517262827.504567715,0.057403120,17
1517262828.505251958,0.057416290,18
1517262829.506144310,0.057396625,26
1517262830.506808048,0.052162920,18
1517262831.507399753,0.052226108,17
1517262832.507986526,0.052157757,17
1517262833.508591500,0.052181341,22
1517262834.509131827,0.052172577,16
1517262835.509566522,0.052183713,16
1517262836.510147600,0.052156277,18
1517262837.510860004,0.052166094,22
1517262838.511566161,0.052220352,24
1517262839.511927669,0.052134697,10
1517262840.512908923,0.076408059,32
1517262841.513659202,0.084199326,28
1517262842.514606496,0.084209609,32
1517262843.515534429,0.084193578,36
1517262844.516342377,0.084227861,34
1517262845.516887087,0.084146737,19
1517262846.517780622,0.084158329,31
1517262847.518732051,0.084137233,39
1517262848.519519389,0.084183011,27
1517262849.520455044,0.084199370,31
1517262850.521157047,0.076645575,24
1517262851.521687918,0.076483905,18
1517262852.522309892,0.076501778,28
1517262853.523152318,0.076509517,30
1517262854.523770458,0.076505024,22
1517262855.524737754,0.076529440,37
1517262856.525478167,0.076470190,22
1517262857.526282621,0.076501340,28
