Time,Hour,0x00,0x01,QoS Delay
190,2020-10-30T11:54:03-07:00,0.015,0,0.056
191,2020-10-30T11:54:04-07:00,0.014,0,0.047
192,2020-10-30T11:54:05-07:00,0.056,0,0.055
193,2020-10-30T11:54:06-07:00,0.015,0,0.033
194,2020-10-30T11:54:07-07:00,0.038,0,0.049
195,2020-10-30T11:54:08-07:00,0.044,0,0.044
196,2020-10-30T11:54:09-07:00,0.014,0,0.052
197,2020-10-30T11:54:10-07:00,0.015,0,0.058
198,2020-10-30T11:54:11-07:00,0.018,0,0.043
199,2020-10-30T11:54:12-07:00,0.016,0,0.047
200,2020-10-30T11:54:13-07:00,0.016,0,0.042
201,2020-10-30T11:54:14-07:00,0.015,0,0.033
202,2020-10-30T11:54:15-07:00,0.039,0,0.045
203,2020-10-30T11:54:16-07:00,0.04,0,0.079
204,2020-10-30T11:54:17-07:00,0.024,0,1.689
205,2020-10-30T11:54:18-07:00,0.017,0,0.039
206,2020-10-30T11:54:19-07:00,0.038,0,0.06
207,2020-10-30T11:54:20-07:00,0.029,0,0.054
208,2020-10-30T11:54:21-07:00,0.04,0,0.042
209,2020-10-30T11:54:22-07:00,0.272,0,0.032
210,2020-10-30T11:54:23-07:00,0.015,0,0.059
211,2020-10-30T11:54:24-07:00,0.101,0,0.078
212,2020-10-30T11:54:25-07:00,0.03,0,0.059
213,2020-10-30T11:54:26-07:00,0.082,0,0.04
214,2020-10-30T11:54:27-07:00,0.066,0,0.042
215,2020-10-30T11:54:28-07:00,14.598,0,332.122
216,2020-10-30T11:54:29-07:00,42.239,0,587.485
217,2020-10-30T11:54:30-07:00,86.658,0,659.337
218,2020-10-30T11:54:31-07:00,66.951,0,318.13
219,2020-10-30T11:54:32-07:00,3.172,0,137.048
220,2020-10-30T11:54:33-07:00,10.888,0,62.714
221,2020-10-30T11:54:34-07:00,0.038,0,0.034
222,2020-10-30T11:54:35-07:00,0.03,0,0.05
223,2020-10-30T11:54:36-07:00,0.016,0,0.045
224,2020-10-30T11:54:37-07:00,0.018,0,0.039
225,2020-10-30T11:54:38-07:00,0.1,0,0.054
226,2020-10-30T11:54:39-07:00,0.089,0,0.06
227,2020-10-30T11:54:40-07:00,0.07,0,0.038
228,2020-10-30T11:54:41-07:00,0.084,0,0.056
229,2020-10-30T11:54:42-07:00,0.016,0,0.077
230,2020-10-30T11:54:43-07:00,0.031,0,0.031
231,2020-10-30T11:54:44-07:00,0.021,0,0.05
232,2020-10-30T11:54:45-07:00,0.032,0,0.066
233,2020-10-30T11:54:46-07:00,0.014,0,0.034
234,2020-10-30T11:54:47-07:00,0.016,0,0.049
235,2020-10-30T11:54:48-07:00,0.113,0,0.042
236,2020-10-30T11:54:49-07:00,0.015,0,0.051
237,2020-10-30T11:54:50-07:00,0.022,0,0.038
238,2020-10-30T11:54:51-07:00,0.019,0,0.041
239,2020-10-30T11:54:52-07:00,0.043,0,0.043
240,2020-10-30T11:54:53-07:00,0.014,0,0.031
