Time,Hour,BE
366,1517262970,0.08415163
367,1517262971,0.076568751
368,1517262972,0.076546575
369,1517262973,0.076523169
370,1517262974,0.076530508
371,1517262975,0.076477732
372,1517262976,0.07648336
373,1517262977,0.07651879
374,1517262978,0.076470582
375,1517262979,0.076505586
376,1517262980,0.076508315
377,1517262981,0.069556247
378,1517262982,0.069551531
379,1517262983,0.069579974
380,1517262984,0.069507815
381,1517262985,0.069562112
382,1517262986,0.069485827
383,1517262987,0.069510737
384,1517262988,0.069512744
385,1517262989,0.069495718
386,1517262990,0.069579266
387,1517262991,0.063209178
388,1517262992,0.063176421
389,1517262993,0.063145547
390,1517262994,0.063169266
391,1517262995,0.063184005
392,1517262996,0.063192944
393,1517262997,0.063184039
394,1517262998,0.06316895
395,1517262999,0.063175828
396,1517263000,0.063174256
397,1517263001,0.057403828
398,1517263002,0.057370174
399,1517263003,0.057432678
400,1517263004,0.057355524
401,1517263005,0.057377146
402,1517263006,0.057386039
403,1517263007,0.057389808
404,1517263008,0.057378138
405,1517263009,0.05744178
406,1517263010,0.057426566
407,1517263011,0.05216667
408,1517263012,0.052178279
409,1517263013,0.052133424
410,1517263014,0.052154923
411,1517263015,0.052192436
412,1517263016,0.052175782
413,1517263017,0.052188456
414,1517263018,0.052194198
415,1517263019,0.052210653
416,1517263020,0.052112053
417,1517263021,0.083783174
418,1517263022,0.084173244
419,1517263023,0.084190503
420,1517263024,0.084143899
421,1517263025,0.084160501
422,1517263026,0.084171604
423,1517263027,0.084218297
424,1517263028,0.084199557
425,1517263029,0.084146692
426,1517263030,0.084251632
427,1517263031,0.076452242
428,1517263032,0.076446648
429,1517263033,0.076504693
430,1517263034,0.076526085
431,1517263035,0.076504006
432,1517263036,0.076543683
433,1517263037,0.076566448
434,1517263038,0.076521983
435,1517263039,0.076564048
436,1517263040,0.076517164
437,1517263041,0.069548708
438,1517263042,0.069577687
439,1517263043,0.069561881
440,1517263044,0.069502258
441,1517263045,0.069564167
442,1517263046,0.069493084
443,1517263047,0.069562105
444,1517263048,0.069555253
445,1517263049,0.06949479
446,1517263050,0.069500905
447,1517263051,0.063179363
448,1517263052,0.063209199
449,1517263053,0.063206593
450,1517263054,0.063145009
451,1517263055,0.063171337
452,1517263056,0.063209163
453,1517263057,0.063198523
454,1517263058,0.063198549
455,1517263059,0.063180236
456,1517263060,0.063195772
457,1517263061,0.057414867
458,1517263062,0.057425905
459,1517263063,0.057394538
460,1517263064,0.057425766
461,1517263065,0.057407556
462,1517263066,0.057423589
463,1517263067,0.057406004
464,1517263068,0.057392497
465,1517263069,0.057369986
466,1517263070,0.057395955
467,1517263071,0.05218489
468,1517263072,0.052136654
469,1517263073,0.052140143
470,1517263074,0.052137615
471,1517263075,0.052150897
472,1517263076,0.052184918
473,1517263077,0.052169719
474,1517263078,0.052144978
475,1517263079,0.052194742
476,1517263080,0.052158359
477,1517263081,0.08329289
478,1517263082,0.084210755
479,1517263083,0.084190468
480,1517263084,0.084145836
481,1517263085,0.084204721
482,1517263086,0.084089109
483,1517263087,0.084170372
484,1517263088,0.084206732
485,1517263089,0.084187288
486,1517263090,0.084163348
487,1517263091,0.076478352
488,1517263092,0.076519703
489,1517263093,0.076528494
490,1517263094,0.076593626
491,1517263095,0.07654866
492,1517263096,0.076538745
493,1517263097,0.076505946
494,1517263098,0.076570735
495,1517263099,0.076472906
496,1517263100,0.076513669
497,1517263101,0.069514898
498,1517263102,0.06952912
499,1517263103,0.069462315
500,1517263104,0.069532951
501,1517263105,0.069534924
502,1517263106,0.069545451
503,1517263107,0.069545913
504,1517263108,0.069524968
505,1517263109,0.069488325
506,1517263110,0.069520418
507,1517263111,0.063225301
508,1517263112,0.06316055
509,1517263113,0.063154794
510,1517263114,0.063155827
511,1517263115,0.063169547
512,1517263116,0.063217766
513,1517263117,0.063114925
514,1517263118,0.063242963
515,1517263119,0.063161055
516,1517263120,0.063211331
517,1517263121,0.057432319
518,1517263122,0.057422167
519,1517263123,0.057401234
520,1517263124,0.057345645
521,1517263125,0.057443354
522,1517263126,0.057411661
523,1517263127,0.057403366
524,1517263128,0.057381031
525,1517263129,0.057429018
526,1517263130,0.057388525
527,1517263131,0.052141634
528,1517263132,0.052194318
529,1517263133,0.052128589
530,1517263134,0.052254392
531,1517263135,0.052119343
532,1517263136,0.052156849
533,1517263137,0.05217412
534,1517263138,0.052153948
535,1517263139,0.05212443
536,1517263140,0.052148086
537,1517263141,0.084206986
538,1517263142,0.084145168
539,1517263143,0.084221972
540,1517263144,0.084203604
541,1517263145,0.084160121
542,1517263146,0.084160778
543,1517263147,0.08419502
544,1517263148,0.084237065
545,1517263149,0.084178068
546,1517263150,0.084189708
547,1517263151,0.076491543
548,1517263152,0.076492763
549,1517263153,0.076553237
550,1517263154,0.076519351
551,1517263155,0.076526801
552,1517263156,0.076499688
553,1517263157,0.076547083
554,1517263158,0.076532865
555,1517263159,0.076529992
556,1517263160,0.076525262
557,1517263161,0.069446721
558,1517263162,0.069545084
559,1517263163,0.06949636
560,1517263164,0.069492829
561,1517263165,0.069489943
562,1517263166,0.069533819
563,1517263167,0.069522931
564,1517263168,0.069504471
565,1517263169,0.069519944
566,1517263170,0.069516275
567,1517263171,0.063189439
568,1517263172,0.063179679
569,1517263173,0.063186984
570,1517263174,0.063186984
571,1517263175,0.063186984
572,1517263176,0.063186984
573,1517263177,0.063186984
574,1517263178,0.063186984
575,1517263179,0.063186984
576,1517263180,0.063186984
