Time,Hour,BE,STA 2
354,2020-10-30T11:56:47-07:00,1.117405966,0.004760625
355,2020-10-30T11:56:48-07:00,1.109432688,0.004662904
356,2020-10-30T11:56:49-07:00,1.086559621,0.004644318
357,2020-10-30T11:56:50-07:00,1.066529034,0.004381495
358,2020-10-30T11:56:51-07:00,1.191858216,0.00527019
359,2020-10-30T11:56:52-07:00,1.087993479,0.004417528
360,2020-10-30T11:56:53-07:00,1.121016522,0.004947615
361,2020-10-30T11:56:54-07:00,1.102217938,0.004840312
362,2020-10-30T11:56:55-07:00,1.19028208,0.004643984
363,2020-10-30T11:56:56-07:00,1.239616185,0.004722924
364,2020-10-30T11:56:57-07:00,1.258076161,0.005073436
365,2020-10-30T11:56:58-07:00,1.190203673,0.004582612
366,2020-10-30T11:56:59-07:00,1.239383899,0.004432765
367,2020-10-30T11:57:00-07:00,1.204764768,0.005060423
368,2020-10-30T11:57:01-07:00,1.251621507,0.004842005
369,2020-10-30T11:57:02-07:00,1.229745862,0.004820951
370,2020-10-30T11:57:03-07:00,1.199431555,0.004338728
371,2020-10-30T11:57:04-07:00,1.223371555,0.005277038
372,2020-10-30T11:57:05-07:00,1.376695747,0.004945372
373,2020-10-30T11:57:06-07:00,1.347812504,0.004706945
374,2020-10-30T11:57:07-07:00,1.317231046,0.004547115
375,2020-10-30T11:57:08-07:00,1.369084268,0.004918753
376,2020-10-30T11:57:09-07:00,1.316005317,0.004612303
377,2020-10-30T11:57:10-07:00,1.343316643,0.004672527
378,2020-10-30T11:57:11-07:00,1.3344793,0.004614826
379,2020-10-30T11:57:12-07:00,1.348193923,0.004608608
380,2020-10-30T11:57:13-07:00,1.347780294,0.004739665
381,2020-10-30T11:57:14-07:00,1.3524252,0.004231253
382,2020-10-30T11:57:15-07:00,1.516280693,0.005764379
383,2020-10-30T11:57:16-07:00,1.435526271,0.00487082
384,2020-10-30T11:57:17-07:00,1.499183358,0.004852034
385,2020-10-30T11:57:18-07:00,1.470612758,0.00459644
386,2020-10-30T11:57:19-07:00,1.494462211,0.004897493
387,2020-10-30T11:57:20-07:00,1.467158516,0.004620151
388,2020-10-30T11:57:21-07:00,1.475481642,0.004680935
389,2020-10-30T11:57:22-07:00,1.484192244,0.004760583
390,2020-10-30T11:57:23-07:00,1.489713806,0.004761536
391,2020-10-30T11:57:24-07:00,1.472883783,0.00444653
392,2020-10-30T11:57:25-07:00,1.61893999,0.005039751
393,2020-10-30T11:57:26-07:00,1.624773615,0.004611119
394,2020-10-30T11:57:27-07:00,1.634917815,0.004762619
395,2020-10-30T11:57:28-07:00,1.621486736,0
396,2020-10-30T11:57:29-07:00,1.624228724,0.009266401
397,2020-10-30T11:57:30-07:00,1.626236709,0.004787962
398,2020-10-30T11:57:31-07:00,1.608144445,0.004731678
