Time,Hour,0x00,0x01,QoS
149,2020-10-30T11:53:22-07:00,0.004864,0,20.396544
150,2020-10-30T11:53:23-07:00,0.004864,0,20.569984
151,2020-10-30T11:53:24-07:00,0.007264,0,22.165632
152,2020-10-30T11:53:25-07:00,0.007456,0,20.197088
153,2020-10-30T11:53:26-07:00,0.004864,0,22.321728
154,2020-10-30T11:53:27-07:00,0.004864,0,10.892032
155,2020-10-30T11:53:28-07:00,0.004864,0,6.738144
156,2020-10-30T11:53:29-07:00,0.004864,0,7.431904
157,2020-10-30T11:53:30-07:00,0.004864,0,8.446528
158,2020-10-30T11:53:31-07:00,0.004864,0,23.301664
159,2020-10-30T11:53:32-07:00,0.005488,0,22.694624
160,2020-10-30T11:53:33-07:00,0.004864,0,19.832864
161,2020-10-30T11:53:34-07:00,0.009184,0,20.968896
162,2020-10-30T11:53:35-07:00,0.004864,0,19.737472
163,2020-10-30T11:53:36-07:00,0.004864,0,20.630688
164,2020-10-30T11:53:37-07:00,0.004864,0,20.344512
165,2020-10-30T11:53:38-07:00,0.004864,0,21.211712
166,2020-10-30T11:53:39-07:00,0.004864,0,21.992192
167,2020-10-30T11:53:40-07:00,0.004864,0,19.64208
168,2020-10-30T11:53:41-07:00,0.004864,0,20.804128
169,2020-10-30T11:53:42-07:00,0.004864,0,22.052896
170,2020-10-30T11:53:43-07:00,0.004864,0,19.850208
171,2020-10-30T11:53:44-07:00,0.0092,0,21.480544
172,2020-10-30T11:53:45-07:00,0.004864,0,20.188416
173,2020-10-30T11:53:46-07:00,0.004864,0,21.11632
174,2020-10-30T11:53:47-07:00,0.004864,0,21.220384
175,2020-10-30T11:53:48-07:00,0.004864,0,21.263744
176,2020-10-30T11:53:49-07:00,0.004864,0,20.171072
177,2020-10-30T11:53:50-07:00,0.005488,0,19.590048
178,2020-10-30T11:53:51-07:00,0.004864,0,20.847488
179,2020-10-30T11:53:52-07:00,0.004864,0,19.737472
180,2020-10-30T11:53:53-07:00,0.004864,0,21.697344
181,2020-10-30T11:53:54-07:00,0.01048,0,20.968896
182,2020-10-30T11:53:55-07:00,0.004864,0,20.405216
183,2020-10-30T11:53:56-07:00,0.004864,0,19.303872
184,2020-10-30T11:53:57-07:00,0.004864,0,21.038272
185,2020-10-30T11:53:58-07:00,0.004864,0,20.07568
186,2020-10-30T11:53:59-07:00,0.004864,0,21.098976
187,2020-10-30T11:54:00-07:00,0.004864,0,21.046944
188,2020-10-30T11:54:01-07:00,0.004864,0,21.437184
189,2020-10-30T11:54:02-07:00,0.004864,0,20.89952
190,2020-10-30T11:54:03-07:00,0.004864,0,20.994912
191,2020-10-30T11:54:04-07:00,0.009856,0,22.50384
192,2020-10-30T11:54:05-07:00,0.004864,0,19.25184
193,2020-10-30T11:54:06-07:00,0.004864,0,20.396544
194,2020-10-30T11:54:07-07:00,0.004864,0,21.645312
195,2020-10-30T11:54:08-07:00,0.004864,0,20.908192
196,2020-10-30T11:54:09-07:00,0.004864,0,20.014976
197,2020-10-30T11:54:10-07:00,0.004864,0,21.706016
198,2020-10-30T11:54:11-07:00,0.004864,0,20.578656
199,2020-10-30T11:54:12-07:00,0.004864,0,21.298432
200,2020-10-30T11:54:13-07:00,0.004864,0,20.847488
201,2020-10-30T11:54:14-07:00,0.009848,0,22.3304
202,2020-10-30T11:54:15-07:00,0.004864,0,19.373248
203,2020-10-30T11:54:16-07:00,0.005488,0,21.350464
204,2020-10-30T11:54:17-07:00,0.004864,0,21.07296
205,2020-10-30T11:54:18-07:00,0.004864,0,20.960224
206,2020-10-30T11:54:19-07:00,0.004864,0,21.905472
207,2020-10-30T11:54:20-07:00,0.004864,0,21.367808
208,2020-10-30T11:54:21-07:00,0.004864,0,20.084352
209,2020-10-30T11:54:22-07:00,0.004864,0,20.413888
210,2020-10-30T11:54:23-07:00,0.004864,0,21.2464
211,2020-10-30T11:54:24-07:00,0.009272,0,21.272416
212,2020-10-30T11:54:25-07:00,0.004864,0,21.229056
213,2020-10-30T11:54:26-07:00,0.004864,0,20.396544
214,2020-10-30T11:54:27-07:00,0.004864,0,12.435648
215,2020-10-30T11:54:28-07:00,0.004864,0,6.816192
216,2020-10-30T11:54:29-07:00,0.005488,0,6.495328
217,2020-10-30T11:54:30-07:00,0.004864,0,9.62592
218,2020-10-30T11:54:31-07:00,0.004864,0,22.737984
219,2020-10-30T11:54:32-07:00,0.004864,0,22.226336
