Time;Other;0x00;0x01;0x02;0x03;0x08;0x20
219;22:40:08;0.11;0;0;0;0;0.018
220;22:40:09;265.356;0;0;0;0;601.728
221;22:40:10;213.042;0;0;0;0;254.219
222;22:40:11;0;0;0;0;0;626.557
223;22:40:12;158.909;0;0;0;0;170.491
224;22:40:13;248.929;653.705;0;0;0;654.177
225;22:40:14;276.341;175.56;0;0;0;165.111
226;22:40:15;273.834;40.806;0;0;0;504.384
227;22:40:16;0;702.952;0;0;0;793.689
228;22:40:17;219.9;616.599;0;0;0;153.065
229;22:40:18;267.685;600.13;0;0;0;629.855
230;22:40:19;284.342;429.615;0;0;0;73.872
231;22:40:20;140.477;317.9;0;0;0;558.335
232;22:40:21;0;515.058;0;0;0;993.562
233;22:40:22;82.197;750.487;0;0;0;581.09
234;22:40:23;187.187;381.822;0;0;0;47.852
235;22:40:24;0;379.831;0;0;0;613.512
236;22:40:25;184.566;652.435;0;0;0;798.064
237;22:40:26;0;668.326;0;0;0;846.886
238;22:40:27;233.766;534.417;0;0;0;861.758
239;22:40:28;210.905;526.04;0;0;0;882.459
240;22:40:29;94.475;834.575;0;0;0;17.044
241;22:40:30;84.951;877.06;0;0;0;915.996
242;22:40:31;0;927.594;0;0;0;904.911
243;22:40:32;250.954;699.806;0;0;0;936.469
244;22:40:33;255.344;412.045;0;0;0;842.647
245;22:40:34;257.58;395.072;0;0;0;802.509
246;22:40:35;133.816;343.124;0;0;0;642.245
247;22:40:36;0;467.962;0;0;0;753.664
248;22:40:37;158.756;341.87;0;0;0;664.421
249;22:40:38;307.817;323.245;0;0;0;514.281
250;22:40:39;915.596;598.85;0;0;0;843.531
251;22:40:40;620.358;514.087;0;0;0;682.981
252;22:40:41;0;322.104;0;0;0;50.871
253;22:40:42;835.271;535.199;0;0;0;745.861
254;22:40:43;247.714;348.529;0;0;0;251.815
255;22:40:44;0;8.748;0;0;0;213.503
256;22:40:45;244.563;109.74;0;0;0;348.236
257;22:40:46;0;131.74;0;0;0;347.221
258;22:40:47;417.716;162.41;0;0;0;313.813
259;22:40:48;156.825;273.399;0;0;0;460.097
260;22:40:49;239.006;614.087;0;0;0;774.203
261;22:40:50;309.262;30.57;0;0;0;842.291
262;22:40:51;0;44.631;0;0;0;756.384
263;22:40:52;321.333;972.412;0;0;0;821.292
264;22:40:53;137.134;133.191;0;0;0;833.804
265;22:40:54;210.128;146.432;0;0;0;645.801
266;22:40:55;354.967;0.538;0;0;0;604.124
267;22:40:56;0;831.519;0;0;0;626.874
268;22:40:57;151.905;553.21;0;0;0;428.116
269;22:40:58;122.318;340.98;0;0;0;948.689
270;22:40:59;271.914;70.992;0;0;0;664.392
271;22:41:00;234.282;825.907;0;0;0;603.373
272;22:41:01;0;872.237;0;0;0;558.463
273;22:41:02;261.38;954.734;0;0;0;700.466
274;22:41:03;189.911;0;0;0;0;772.771
275;22:41:04;199.719;959.813;0;0;0;797.268
276;22:41:05;287.709;518.49;0;0;0;704.495
277;22:41:06;0;278.816;0;0;0;562.856
278;22:41:07;190.334;475.363;0;0;0;547.318
279;22:41:08;309.816;0;0;0;0;501.28
280;22:41:09;301.867;457.546;0;0;0;507.978
