Time;Hour;0x02;0x03;QoS 1;BE 3;BE 4;0x00;0x01
232;2020-11-23T17:53:46+01:00;0;0;2.8617600000000003;null;2.853088;0.016448;0
233;2020-11-23T17:53:47+01:00;0;0;2.5148800000000002;null;2.5148800000000002;0.015519999999999999;0
234;2020-11-23T17:53:48+01:00;0;0;2.913792;null;2.9051199999999997;0.017072;0
235;2020-11-23T17:53:49+01:00;null;0;2.610272;null;2.618944;0.015519999999999999;0
236;2020-11-23T17:53:50+01:00;0;0;null;null;null;0.016448;0
237;2020-11-23T17:53:51+01:00;0;0;null;null;null;0.015519999999999999;0
238;2020-11-23T17:53:52+01:00;0;0;null;null;null;0.011583999999999999;0
239;2020-11-23T17:53:53+01:00;0;0;null;null;null;0;0
240;2020-11-23T17:53:54+01:00;0;0;null;null;null;0;0
241;2020-11-23T17:53:55+01:00;0;0;null;null;null;0;0
242;2020-11-23T17:53:56+01:00;0;0;null;null;null;0;0
243;2020-11-23T17:53:57+01:00;0;0;null;null;null;0;0
244;2020-11-23T17:53:58+01:00;0;0;null;null;null;0;0
245;2020-11-23T17:53:59+01:00;0;0;null;null;null;0;0
246;2020-11-23T17:54:00+01:00;0;0;null;null;null;0;0
247;2020-11-23T17:54:01+01:00;0;0;null;null;null;0;0
248;2020-11-23T17:54:02+01:00;0;0;null;null;null;0;0
249;2020-11-23T17:54:03+01:00;0;0;null;null;null;0;0
250;2020-11-23T17:54:04+01:00;0;0;null;null;null;0;0
251;2020-11-23T17:54:05+01:00;0;0;null;null;null;0;0
252;2020-11-23T17:54:06+01:00;0;0;null;null;null;0;0
253;2020-11-23T17:54:07+01:00;0;0;null;null;null;0;0
254;2020-11-23T17:54:08+01:00;0;0;null;null;null;0;0
255;2020-11-23T17:54:09+01:00;0;0;null;null;null;0;0
256;2020-11-23T17:54:10+01:00;0;0;null;null;null;0;0
257;2020-11-23T17:54:11+01:00;0;0;null;null;null;0;0
258;2020-11-23T17:54:12+01:00;0;0;null;null;null;0;0
259;2020-11-23T17:54:13+01:00;0;0;null;null;null;0;0
260;2020-11-23T17:54:14+01:00;0;0;null;null;null;0;0
261;2020-11-23T17:54:15+01:00;0;0;null;null;null;0;0
262;2020-11-23T17:54:16+01:00;null;null;null;null;null;0;null
263;2020-11-23T17:54:17+01:00;0;0;null;null;null;0;0
264;2020-11-23T17:54:18+01:00;0;0;null;null;null;0;0
265;2020-11-23T17:54:19+01:00;0;0;null;null;null;0;0
266;2020-11-23T17:54:20+01:00;0;0;null;null;null;0;0
267;2020-11-23T17:54:21+01:00;0;0;null;null;null;0;0
268;2020-11-23T17:54:22+01:00;0;0;null;null;null;0;0
269;2020-11-23T17:54:23+01:00;0;0;null;null;null;0;0
270;2020-11-23T17:54:24+01:00;0;0;null;null;null;0;0
271;2020-11-23T17:54:25+01:00;0;0;null;null;null;0;0
272;2020-11-23T17:54:26+01:00;0;0;null;null;null;0;0
273;2020-11-23T17:54:27+01:00;0;0;null;null;null;0;0
274;2020-11-23T17:54:28+01:00;0;0;null;null;null;0;0
275;2020-11-23T17:54:29+01:00;0;0;null;null;null;0;0
276;2020-11-23T17:54:30+01:00;0;0;null;null;null;0;0
277;2020-11-23T17:54:31+01:00;0;0;null;null;null;0;0
278;2020-11-23T17:54:32+01:00;0;0;null;null;null;0;0
279;2020-11-23T17:54:33+01:00;0;0;null;null;null;0.004864;0
280;2020-11-23T17:54:34+01:00;0;0;null;null;null;0.004864;0
281;2020-11-23T17:54:35+01:00;0;0;null;null;null;0.004864;0
282;2020-11-23T17:54:36+01:00;0;0;null;null;null;0.004864;0
283;2020-11-23T17:54:37+01:00;null;null;null;null;null;null;null
284;2020-11-23T17:54:38+01:00;0;0;null;null;null;0.004864;0
285;2020-11-23T17:54:39+01:00;0;0;null;null;null;0.004864;0
286;2020-11-23T17:54:40+01:00;0;0;null;null;null;0.004864;0
287;2020-11-23T17:54:41+01:00;null;null;null;null;null;0.004864;0
288;2020-11-23T17:54:42+01:00;0;0;null;null;null;0.004864;0
289;2020-11-23T17:54:43+01:00;0;0;null;null;null;0.004864;0
290;2020-11-23T17:54:44+01:00;0;0;null;null;null;0.004864;0
291;2020-11-23T17:54:45+01:00;0;0;null;null;null;0.004864;0
292;2020-11-23T17:54:46+01:00;0;0;null;null;null;0.004864;0
293;2020-11-23T17:54:47+01:00;0;0;null;null;null;0.004864;0
294;2020-11-23T17:54:48+01:00;0;0;null;null;null;0.004864;0
295;2020-11-23T17:54:49+01:00;0;0;null;null;null;0.004864;0
296;2020-11-23T17:54:50+01:00;null;null;null;null;null;0.004864;0
297;2020-11-23T17:54:51+01:00;0;0;null;null;null;0.004864;0
298;2020-11-23T17:54:52+01:00;0;0;null;null;null;0.004864;0
299;2020-11-23T17:54:53+01:00;0;0;null;null;null;0;0
300;2020-11-23T17:54:54+01:00;0;0;null;null;null;0;0
301;2020-11-23T17:54:55+01:00;0;0;null;null;null;0;0
302;2020-11-23T17:54:56+01:00;0;0;null;null;null;0;0
303;2020-11-23T17:54:57+01:00;0;0;null;null;null;0;0
304;2020-11-23T17:54:58+01:00;0;0;null;null;null;0;0
305;2020-11-23T17:54:59+01:00;0;0;null;null;null;0;0
306;2020-11-23T17:55:00+01:00;0;0;null;null;null;0;0
307;2020-11-23T17:55:01+01:00;0;0;null;null;null;0;0
308;2020-11-23T17:55:02+01:00;0;0;null;null;null;0;0
309;2020-11-23T17:55:03+01:00;0;0;null;null;null;0;0
310;2020-11-23T17:55:04+01:00;0;0;null;null;null;0;0
311;2020-11-23T17:55:05+01:00;0;0;null;null;null;0;0
312;2020-11-23T17:55:06+01:00;0;0;null;null;null;0;0
313;2020-11-23T17:55:07+01:00;0;0;null;null;null;0;0
314;2020-11-23T17:55:08+01:00;0;0;null;null;null;0;0
315;2020-11-23T17:55:09+01:00;0;0;null;null;null;0;0
316;2020-11-23T17:55:10+01:00;0;0;null;null;null;0;0
317;2020-11-23T17:55:11+01:00;0;0;null;null;null;0;0
318;2020-11-23T17:55:12+01:00;0;0;null;null;null;0;0
319;2020-11-23T17:55:13+01:00;0;0;null;null;null;0;0
320;2020-11-23T17:55:14+01:00;0;0;null;null;null;0;0
321;2020-11-23T17:55:15+01:00;0;0;null;null;null;0;0
322;2020-11-23T17:55:16+01:00;0;0;null;null;null;0;0
323;2020-11-23T17:55:17+01:00;0;0;null;null;null;0;0
324;2020-11-23T17:55:18+01:00;null;null;null;null;null;null;null
325;2020-11-23T17:55:19+01:00;0;0;null;null;null;0;0
326;2020-11-23T17:55:20+01:00;0;0;null;null;null;0;0
327;2020-11-23T17:55:21+01:00;0;0;null;null;null;0;0
328;2020-11-23T17:55:22+01:00;0;0;null;null;null;0;0
329;2020-11-23T17:55:23+01:00;0;0;null;null;null;0;0
330;2020-11-23T17:55:24+01:00;0;0;null;null;null;0;0
331;2020-11-23T17:55:25+01:00;0;0;null;null;null;0;0
332;2020-11-23T17:55:26+01:00;0;null;null;null;null;0;0
333;2020-11-23T17:55:27+01:00;0;0;null;null;null;0;0
334;2020-11-23T17:55:28+01:00;null;null;null;null;null;0;null
335;2020-11-23T17:55:29+01:00;0;0;null;null;null;0;0
336;2020-11-23T17:55:30+01:00;0;0;0;null;0;0;0
337;2020-11-23T17:55:31+01:00;0;0;0;null;0;0;0
338;2020-11-23T17:55:32+01:00;null;null;null;null;null;null;null
339;2020-11-23T17:55:33+01:00;0;0;0.008672000000000001;null;2.584256;0.004864;0
340;2020-11-23T17:55:34+01:00;0;0;0.10406399999999999;null;3.1826239999999997;0.043664;null
341;2020-11-23T17:55:35+01:00;0;0;2.29808;null;2.705664;0.019344;0
342;2020-11-23T17:55:36+01:00;0;0;2.610272;null;2.670976;null;null
343;2020-11-23T17:55:37+01:00;0;0;1.3788479999999999;null;1.318144;0.010656;0
344;2020-11-23T17:55:38+01:00;0;0;0.8325119999999999;null;0.754464;0.004864;0
345;2020-11-23T17:55:39+01:00;null;0;0.312192;null;0.312192;null;null
346;2020-11-23T17:55:40+01:00;0;0;0.849856;null;0.797824;0.023792;0
347;2020-11-23T17:55:41+01:00;0;0;1.231424;null;1.2661120000000001;0.028352;0
