sep=;
"Time";"APP: 3 - Node: 11";"APP: 3 - Node: 8860215";"APP: 5 - Node: 12";"APP: 5 - Node: 5079035";"APP: 1 - Node: 11879605";"APP: 1 - Node: 13";"APP: 2 - Node: 13";"APP: 2 - Node: 8860310"
"2020-09-16T11:48:26+02:00";25;118;null;null;null;null;null;null
"2020-09-16T11:48:28+02:00";null;null;null;null;44;55;null;null
"2020-09-16T11:48:29+02:00";null;null;null;null;null;null;55;61
"2020-09-16T11:48:30+02:00";null;null;56;89;null;null;null;null
"2020-09-16T11:48:31+02:00";26;3554;null;null;null;null;null;null
"2020-09-16T11:48:33+02:00";null;null;null;null;47;21;null;null
"2020-09-16T11:48:34+02:00";null;null;null;null;null;null;49;45
"2020-09-16T11:48:35+02:00";null;null;25;84;null;null;null;null
"2020-09-16T11:48:36+02:00";41;116;null;null;null;null;null;null
"2020-09-16T11:48:38+02:00";null;null;null;null;46;55;null;null
"2020-09-16T11:48:39+02:00";null;null;null;null;null;null;25;43
"2020-09-16T11:48:40+02:00";null;null;26;80;null;null;null;null
"2020-09-16T11:48:41+02:00";27;133;null;null;null;null;null;null
"2020-09-16T11:48:45+02:00";null;null;53;93;null;null;null;null
"2020-09-16T11:48:46+02:00";27;2814;null;null;null;null;null;null
"2020-09-16T11:48:48+02:00";25;134;null;null;null;null;null;null
"2020-09-16T11:48:50+02:00";null;null;23;90;null;null;null;null
"2020-09-16T11:48:53+02:00";64;147;null;null;null;null;null;null
"2020-09-16T11:48:55+02:00";null;null;58;93;null;null;null;null
"2020-09-16T11:48:58+02:00";26;6267;null;null;null;null;null;null
"2020-09-16T11:49:00+02:00";null;null;31;89;null;null;null;null
"2020-09-16T11:49:03+02:00";25;128;null;null;null;null;null;null
"2020-09-16T11:49:05+02:00";null;null;58;83;null;null;null;null
