sep=;
"Time";"APP: 3 - Node: 11";"APP: 3 - Node: 8860215";"APP: 4 - Node: 11880865";"APP: 4 - Node: 12";"APP: 2 - Node: 13";"APP: 2 - Node: 8860310";"APP: 1 - Node: 11879605";"APP: 1 - Node: 13"
"2020-10-09T12:35:58+02:00";null;null;82;36;36;46;null;null
"2020-10-09T12:36:02+02:00";26;120;null;null;null;null;47;48
"2020-10-09T12:36:03+02:00";null;null;76;34;102;45;null;null
"2020-10-09T12:36:07+02:00";null;null;null;null;null;null;57;52
"2020-10-09T12:36:08+02:00";null;null;null;null;63;47;null;null
"2020-10-09T12:36:58+02:00";null;null;90;22;null;null;null;null
"2020-10-09T12:37:00+02:00";29;121;null;null;null;null;null;null
"2020-10-09T12:37:03+02:00";null;null;84;68;null;null;null;null
"2020-10-09T12:37:05+02:00";null;139;null;null;null;null;42;20
"2020-10-09T12:37:06+02:00";27;null;null;null;24;42;null;null
"2020-10-09T12:37:07+02:00";null;null;null;null;null;null;46;51
"2020-10-09T12:37:08+02:00";null;null;87;25;69;67;null;null
"2020-10-09T12:37:10+02:00";27;131;null;null;null;null;null;null
"2020-10-09T12:37:12+02:00";null;null;null;null;null;null;82;52
"2020-10-09T12:37:13+02:00";null;null;84;56;null;null;null;null
"2020-10-09T12:37:15+02:00";28;124;null;null;null;null;null;null
"2020-10-09T12:37:16+02:00";null;null;null;null;21;45;null;null
"2020-10-09T12:37:18+02:00";null;null;84;25;null;null;null;null
"2020-10-09T12:37:19+02:00";null;null;null;null;null;null;68;71
"2020-10-09T12:37:20+02:00";null;106;null;null;null;null;null;null
"2020-10-09T12:37:21+02:00";26;null;null;null;32;49;null;null
"2020-10-09T12:37:23+02:00";null;null;85;28;null;null;null;null
"2020-10-09T12:37:24+02:00";null;null;null;null;null;null;46;null
"2020-10-09T12:37:25+02:00";25;88;null;null;null;null;null;24
"2020-10-09T12:37:26+02:00";null;null;null;null;null;46;45;114
"2020-10-09T12:37:27+02:00";null;null;null;null;65;null;null;null
"2020-10-09T12:37:28+02:00";null;null;62;52;null;null;null;null
"2020-10-09T12:37:30+02:00";25;124;null;null;null;null;null;null
"2020-10-09T12:37:31+02:00";null;null;null;null;null;48;45;46
"2020-10-09T12:37:32+02:00";null;null;null;null;66;null;null;null
"2020-10-09T12:37:33+02:00";null;null;58;25;null;null;null;null
"2020-10-09T12:37:35+02:00";null;98;null;null;null;null;null;null
"2020-10-09T12:37:36+02:00";53;null;null;null;null;null;42;23
"2020-10-09T12:37:37+02:00";null;null;null;null;62;48;null;null
"2020-10-09T12:37:38+02:00";null;null;61;38;null;null;null;null
"2020-10-09T12:37:40+02:00";null;114;null;null;null;null;null;null
"2020-10-09T12:37:41+02:00";53;null;null;null;75;47;46;25
"2020-10-09T12:37:43+02:00";null;null;84;23;null;null;null;null
"2020-10-09T12:37:45+02:00";25;101;null;null;null;null;null;null
"2020-10-09T12:37:46+02:00";null;null;null;null;null;45;44;101
"2020-10-09T12:37:47+02:00";null;null;null;null;106;null;null;null
"2020-10-09T12:37:48+02:00";null;null;81;38;null;null;null;null
"2020-10-09T12:37:50+02:00";null;154;null;null;null;null;null;null
"2020-10-09T12:37:51+02:00";25;null;null;null;null;67;64;54
"2020-10-09T12:37:52+02:00";null;null;null;null;2274;null;null;null
"2020-10-09T12:37:53+02:00";null;null;52;174;null;null;null;null
"2020-10-09T12:37:55+02:00";null;null;null;null;null;null;69;null
"2020-10-09T12:37:56+02:00";54;124;null;null;null;null;null;28
"2020-10-09T12:37:57+02:00";null;null;null;null;32;48;null;null
"2020-10-09T12:37:58+02:00";null;null;75;25;null;null;null;null
"2020-10-09T12:38:00+02:00";null;null;null;null;null;null;80;null
"2020-10-09T12:38:01+02:00";37;146;null;null;null;null;null;52
"2020-10-09T12:38:02+02:00";null;null;null;null;33;50;null;null
"2020-10-09T12:38:03+02:00";null;null;96;39;null;null;null;null
"2020-10-09T12:38:05+02:00";null;null;null;null;null;null;57;69
"2020-10-09T12:38:06+02:00";54;103;null;null;null;null;null;null
