sep=;
"Time";"0x00";"0x1A";"0x20";"0x30"
"2020-09-16T11:36:00+02:00";12000;12000;12000;12000
"2020-09-16T11:36:01+02:00";12000;12000;12000;12000
"2020-09-16T11:36:02+02:00";12000;12000;12000;12000
"2020-09-16T11:36:03+02:00";12000;12000;12000;12000
"2020-09-16T11:36:04+02:00";12000;12000;12000;12000
"2020-09-16T11:36:05+02:00";12000;12000;12000;12000
"2020-09-16T11:36:06+02:00";12000;null;null;null
"2020-09-16T11:36:07+02:00";12000;12000;12000;12000
"2020-09-16T11:36:08+02:00";12000;12000;12000;12000
"2020-09-16T11:36:09+02:00";12000;12000;12000;12000
"2020-09-16T11:36:10+02:00";12000;12000;12000;12000
"2020-09-16T11:36:11+02:00";12000;12000;12000;12000
"2020-09-16T11:36:12+02:00";12000;12000;12000;12000
"2020-09-16T11:36:13+02:00";12000;12000;12000;12000
"2020-09-16T11:36:14+02:00";12000;12000;12000;12000
"2020-09-16T11:36:15+02:00";12000;12000;12000;12000
"2020-09-16T11:36:16+02:00";12000;12000;12000;12000
"2020-09-16T11:36:17+02:00";12000;12000;12000;12000
"2020-09-16T11:36:18+02:00";12000;12000;12000;12000
"2020-09-16T11:36:19+02:00";12000;12000;12000;12000
"2020-09-16T11:36:20+02:00";12000;12000;12000;12000
"2020-09-16T11:36:21+02:00";12000;12000;12000;12000
"2020-09-16T11:36:22+02:00";12000;12000;12000;12000
"2020-09-16T11:36:23+02:00";12000;12000;12000;12000
"2020-09-16T11:36:24+02:00";12000;12000;12000;12000
"2020-09-16T11:36:25+02:00";12000;12000;12000;12000
"2020-09-16T11:36:26+02:00";12000;12000;12000;12000
"2020-09-16T11:36:27+02:00";12000;12000;12000;12000
"2020-09-16T11:36:28+02:00";12000;12000;12000;12000
"2020-09-16T11:36:29+02:00";12000;12000;12000;12000
"2020-09-16T11:36:30+02:00";12000;12000;12000;12000
"2020-09-16T11:36:31+02:00";12000;12000;12000;12000
"2020-09-16T11:36:32+02:00";12000;12000;12000;12000
"2020-09-16T11:36:33+02:00";12000;12000;12000;12000
"2020-09-16T11:36:34+02:00";12000;12000;12000;12000
"2020-09-16T11:36:35+02:00";12000;12000;12000;12000
"2020-09-16T11:36:36+02:00";12000;12000;null;null
"2020-09-16T11:36:37+02:00";12000;12000;12000;12000
"2020-09-16T11:36:38+02:00";12000;12000;12000;12000
"2020-09-16T11:36:39+02:00";12000;12000;12000;12000
"2020-09-16T11:36:40+02:00";12000;12000;12000;12000
"2020-09-16T11:36:41+02:00";12000;12000;12000;12000
"2020-09-16T11:36:42+02:00";12000;12000;12000;12000
"2020-09-16T11:36:43+02:00";12000;12000;12000;12000
"2020-09-16T11:36:44+02:00";12000;12000;12000;12000
"2020-09-16T11:36:45+02:00";12000;12000;12000;12000
"2020-09-16T11:36:46+02:00";12000;12000;12000;12000
"2020-09-16T11:36:47+02:00";12000;12000;12000;12000
