sep=;
"Time";"APP: 3";"APP: 5";"APP: 1";"APP: 2"
"2020-09-16T11:48:26+02:00";0.3;null;null;null
"2020-09-16T11:48:28+02:00";null;null;23.4;null
"2020-09-16T11:48:29+02:00";null;null;null;36
"2020-09-16T11:48:30+02:00";null;1;null;null
"2020-09-16T11:48:31+02:00";0;null;null;null
"2020-09-16T11:48:33+02:00";null;null;28;null
"2020-09-16T11:48:34+02:00";null;null;null;34
"2020-09-16T11:48:35+02:00";null;0.8;null;null
"2020-09-16T11:48:36+02:00";0.8;null;null;null
"2020-09-16T11:48:38+02:00";null;null;31.5;null
"2020-09-16T11:48:39+02:00";null;null;null;38.8
"2020-09-16T11:48:40+02:00";null;0.6;null;null
"2020-09-16T11:48:41+02:00";0.8;null;null;null
"2020-09-16T11:48:45+02:00";null;0.6;null;null
"2020-09-16T11:48:46+02:00";431;null;null;null
"2020-09-16T11:48:48+02:00";861.8;null;null;null
"2020-09-16T11:48:50+02:00";null;0.6;null;null
"2020-09-16T11:48:53+02:00";861.8;null;null;null
"2020-09-16T11:48:55+02:00";null;0.9;null;null
"2020-09-16T11:48:58+02:00";861.8;null;null;null
"2020-09-16T11:49:00+02:00";null;1.2;null;null
"2020-09-16T11:49:03+02:00";863;null;null;null
"2020-09-16T11:49:05+02:00";null;1;null;null
