Time;Datetime;Slice (control);Slice (APP 3);Slice (APP 1);Slice (APP 2)
123;2020-10-09T12:40:02+02:00;0.001248;0.008848;0.0;0.0
124;2020-10-09T12:40:03+02:00;0.007328;0.000928;0.0;0.0
125;2020-10-09T12:40:04+02:00;0.001248;0.002784;0.0;0.0
126;2020-10-09T12:40:05+02:00;0.001248;0.002784;0.0;0.0
127;2020-10-09T12:40:06+02:00;0.001248;0.003824;0.0;0.0
128;2020-10-09T12:40:07+02:00;0.001248;0.005816;0.0;0.0
129;2020-10-09T12:40:08+02:00;0.008576;0.000928;0.0;0.0
130;2020-10-09T12:40:09+02:00;0.001248;0.003712;0.0;0.0
131;2020-10-09T12:40:10+02:00;0.001248;0.002784;0.0;0.0
132;2020-10-09T12:40:11+02:00;0.001248;0.003824;0.0;0.0
133;2020-10-09T12:40:12+02:00;0.001872;0.002784;0.0;0.0
134;2020-10-09T12:40:13+02:00;0.007951999999999999;0.000928;0.0;0.0
135;2020-10-09T12:40:14+02:00;0.001936;0.002784;0.0;0.0
136;2020-10-09T12:40:15+02:00;0.002608;0.002784;0.0;0.0
137;2020-10-09T12:40:16+02:00;0.001248;0.003824;0.0;0.0
138;2020-10-09T12:40:17+02:00;0.002496;0.002784;0.0;0.0
139;2020-10-09T12:40:18+02:00;0.007951999999999999;0.000928;0.0;0.0
140;2020-10-09T12:40:19+02:00;0.001248;0.002784;0.0;0.0
141;2020-10-09T12:40:20+02:00;0.001248;0.002784;0.0;0.0
142;2020-10-09T12:40:21+02:00;0.001248;0.003824;0.0;0.0
143;2020-10-09T12:40:22+02:00;0.001248;0.002784;0.0;0.0
144;2020-10-09T12:40:23+02:00;0.006704000000000001;0.000928;0.0;0.0
145;2020-10-09T12:40:24+02:00;0.004128;0.002784;0.0;0.0
146;2020-10-09T12:40:25+02:00;0.001248;0.002784;0.0;0.0
147;2020-10-09T12:40:26+02:00;0.001248;0.006856;0.0;0.0
148;2020-10-09T12:40:27+02:00;0.002496;0.002784;0.0;0.0
149;2020-10-09T12:40:28+02:00;0.006704000000000001;0.003712;0.0;0.0
150;2020-10-09T12:40:29+02:00;0.001248;0.0;0.0;0.0
151;2020-10-09T12:40:30+02:00;0.001248;0.002784;0.0;0.0
152;2020-10-09T12:40:31+02:00;0.001248;0.004912;0.0;0.0
153;2020-10-09T12:40:32+02:00;0.001248;0.0036880000000000003;0.0;0.0
154;2020-10-09T12:40:33+02:00;0.006704000000000001;0.000928;0.0;0.0
155;2020-10-09T12:40:34+02:00;0.001248;0.002784;0.0;0.0
156;2020-10-09T12:40:35+02:00;0.001248;0.002784;0.0;0.0
157;2020-10-09T12:40:36+02:00;0.002496;0.005816;0.0;0.0
158;2020-10-09T12:40:37+02:00;0.001248;0.002784;0.0;0.0
159;2020-10-09T12:40:38+02:00;0.00608;0.000928;0.0;0.0
160;2020-10-09T12:40:39+02:00;0.001248;0.002784;0.0;0.0
161;2020-10-09T12:40:40+02:00;0.001248;0.002784;0.0;0.0
162;2020-10-09T12:40:41+02:00;0.001248;0.002784;0.0;null
163;2020-10-09T12:40:42+02:00;0.001248;0.005816;0.0;0.0
164;2020-10-09T12:40:43+02:00;0.00608;0.000928;0.0;0.0
165;2020-10-09T12:40:44+02:00;0.001248;0.000928;0.0;0.0
166;2020-10-09T12:40:45+02:00;0.001248;0.000928;0.0;0.0
167;2020-10-09T12:40:46+02:00;0.002496;0.001968;0.0;null
168;2020-10-09T12:40:47+02:00;0.001248;0.000928;0.0;0.0
169;2020-10-09T12:40:48+02:00;0.002624;0.0;0.0;0.0
170;2020-10-09T12:40:49+02:00;0.001248;0.000928;0.0;0.0
171;2020-10-09T12:40:50+02:00;0.001248;0.000928;0.0;0.0
172;2020-10-09T12:40:51+02:00;0.001248;0.000928;0.0;0.0
173;2020-10-09T12:40:52+02:00;0.001248;0.002016;0.0;0.0
174;2020-10-09T12:40:53+02:00;0.002624;0.0;0.0;0.0
175;2020-10-09T12:40:54+02:00;0.002496;0.000928;0.0;0.0
176;2020-10-09T12:40:55+02:00;0.002496;0.000928;0.0;null
177;2020-10-09T12:40:56+02:00;0.002496;0.001832;0.0;0.0
178;2020-10-09T12:40:57+02:00;0.001248;0.000928;0.0;0.0
179;2020-10-09T12:40:58+02:00;0.002624;0.0;0.0;0.0
180;2020-10-09T12:40:59+02:00;0.001248;0.000928;0.0;0.0
181;2020-10-09T12:41:00+02:00;0.001248;0.000928;null;null
182;2020-10-09T12:41:01+02:00;0.001248;0.000928;0.0;0.0
183;2020-10-09T12:41:02+02:00;0.001248;0.000928;0.0;0.0
184;2020-10-09T12:41:03+02:00;0.003872;0.0;0.0;0.0
185;2020-10-09T12:41:04+02:00;0.001248;0.000928;0.0;0.0
186;2020-10-09T12:41:05+02:00;0.004128;0.000928;0.0;0.0
187;2020-10-09T12:41:06+02:00;0.001248;0.000928;0.0;0.0
188;2020-10-09T12:41:07+02:00;0.004128;0.000928;0.0;0.0
189;2020-10-09T12:41:08+02:00;0.002624;0.0;0.0;0.0
190;2020-10-09T12:41:09+02:00;0.001248;0.000928;0.0;0.0
191;2020-10-09T12:41:10+02:00;0.001872;0.000928;0.0;0.0
