Time,Hour,STA 1,STA 2
276,1604082862,0.055383787,0.000008576
277,1604082863,0.052154111,0.000007819
278,1604082864,0.052152357,0.000007384
279,1604082865,0.052131173,0.000006781
280,1604082866,0.052189795,0.000007282
281,1604082867,0.0521798,0.000007187
282,1604082868,0.052135338,0.000005715
283,1604082869,0.052157374,0.000005708
284,1604082870,0.052156565,0.000006134
285,1604082871,0.052157664,0.000006446
286,1604082872,0.050937813,0.000005686
287,1604082873,0.047394393,0.000005652
288,1604082874,0.047411657,0.000006025
289,1604082875,0.047399186,0.000005767
290,1604082876,0.04738684,0.000005811
291,1604082877,0.047415563,0.000010348
292,1604082878,0.047416383,0.000012594
293,1604082879,0.047348423,0.000004084
294,1604082880,0.047375115,0.000003134
295,1604082881,0.047427547,0.00000313
296,1604082882,0.046299372,0.000002857
297,1604082883,0.043056923,0.000006471
298,1604082884,0.042995258,0.000003045
299,1604082885,0.04308638,0.000003181
300,1604082886,0.043023955,0.000003149
301,1604082887,0.04305647,0.000005298
302,1604082888,0.043100821,0.000007124
303,1604082889,0.043064394,0.000008477
304,1604082890,0.043079085,0.000003694
305,1604082891,0.043002772,0.000003489
306,1604082892,0.04114359,0.00000846
307,1604082893,0.039163317,0.000002728
308,1604082894,0.039096813,0.00000783
309,1604082895,0.039114331,0.000007468
310,1604082896,0.039159825,0.000009032
311,1604082897,0.039142133,0.000011313
312,1604082898,0.039084121,0.000006849
313,1604082899,0.039149999,0.00000817
314,1604082900,0.039121086,0.000003926
315,1604082901,0.039162938,0.000007608
316,1604082902,0.038083805,0.000007624
317,1604082903,0.035500003,0.000011518
318,1604082904,0.035534151,0.000007682
319,1604082905,0.035529533,0.000006621
320,1604082906,0.035527464,0.000006891
321,1604082907,0.035561361,0.000006739
322,1604082908,0.035517977,0.000008561
323,1604082909,0.035529068,0.000006842
324,1604082910,0.035520519,0.000007607
325,1604082911,0.035528557,0.000007783
326,1604082912,0.033850654,0.000007678
327,1604082913,0.032269519,0.000007637
328,1604082914,0.032244319,0.000006775
329,1604082915,0.032240569,0.000010364
330,1604082916,0.032279765,0.000005808
331,1604082917,0.032311866,0.000007776
332,1604082918,0.032285301,0.000006176
333,1604082919,0.032296599,0.000006652
334,1604082920,0.032291837,0.000008454
335,1604082921,0.032326071,0.00000253
336,1604082922,0.030198772,0.000002791
337,1604082923,0.029322203,0.000003151
338,1604082924,0.02933259,0.000002808
339,1604082925,0.029282328,0.00001101
340,1604082926,0.029349414,0.000006325
341,1604082927,0.029336194,0.000005674
342,1604082928,0.029332072,0.00000566
343,1604082929,0.029273939,0.000005623
344,1604082930,0.029358528,0.000005773
345,1604082931,0.029284226,0.000005694
346,1604082932,0.027022949,0.000005744
347,1604082933,0.026606454,0.00000571
348,1604082934,0.026665405,0.000005698
349,1604082935,0.026653495,0.000006974
350,1604082936,0.02661238,0.00000563
351,1604082937,0.026626984,0.00000771
352,1604082938,0.026626389,0.000005697
353,1604082939,0.026682457,0.000005726
354,1604082940,0.026645344,0.000005789
355,1604082941,0.02666691,0.000005799
356,1604082942,0.024999073,0.000006223
357,1604082943,0.02424309,0.000005981
358,1604082944,0.024156771,0.000005722
359,1604082945,0.024193249,0.000005721
360,1604082946,0.024133989,0.00000634
361,1604082947,0.024158024,0.000005666
362,1604082948,0.024179996,0.000006714
363,1604082949,0.024178103,0.000005818
364,1604082950,0.024188485,0.000005906
365,1604082951,0.024188518,0.000006188
366,1604082952,0.022030642,0.000005682
367,1604082953,0.021949897,0.000005658
368,1604082954,0.021975656,0.000005742
369,1604082955,0.021971131,0.000005688
370,1604082956,0.021987753,0.000005783
371,1604082957,0.021946303,0.000005792
372,1604082958,0.021976895,0.000005795
373,1604082959,0.021940825,0.000005702
374,1604082960,0.021939955,0.000005732
375,1604082961,0.021975647,0.000005728
376,1604082962,0.020092027,0.000005694
377,1604082963,0.019908804,0.000005825
378,1604082964,0.019904165,0.000005753
379,1604082965,0.019932231,0.000005632
380,1604082966,0.019949029,0.000006092
381,1604082967,0.019941112,0.000005748
382,1604082968,0.020010535,0.000005741
383,1604082969,0.019912758,0.000005708
384,1604082970,0.019946378,0.00000616
385,1604082971,0.019941702,0.000005722
386,1604082972,0.018116276,0.000005628
387,1604082973,0.01815688,0.000005731
388,1604082974,0.018092591,0.000005777
389,1604082975,0.018109426,0.000005722
390,1604082976,0.018078482,0.000005728
391,1604082977,0.018096279,0.000005823
392,1604082978,0.018124606,0.000008422
393,1604082979,0.018039585,0.0000064
394,1604082980,0.018122374,0.000005688
395,1604082981,0.01812746,0.00000618
396,1604082982,0.016414379,0.000008765
397,1604082983,0.016441928,0.000005715
398,1604082984,0.016479445,0.000008506
399,1604082985,0.016442863,0.000006544
400,1604082986,0.016412038,0.000006168
401,1604082987,0.016356922,0.000005687
402,1604082988,0.016416556,0.00000563
403,1604082989,0.016531072,0.000005586
404,1604082990,0.016499954,0.000005864
405,1604082991,0.016459304,0.000005652
406,1604082992,0.014926893,0.000007333
407,1604082993,0.014920349,0.00000605
408,1604082994,0.014892966,0.000009768
409,1604082995,0.014924478,0.00000569
410,1604082996,0.014924449,0.000006332
411,1604082997,0.014949575,0.000005603
412,1604082998,0.014949523,0.000006118
413,1604082999,0.014938465,0.000005609
414,1604083000,0.014985428,0.000006386
415,1604083001,0.014873642,0.000005709
416,1604083002,0.013498525,0.000006635
417,1604083003,0.013526227,0.000006955
418,1604083004,0.013506791,0.000005633
419,1604083005,0.013547038,0.000005663
420,1604083006,0.013523724,0.000006362
421,1604083007,0.013594856,0.000005655
422,1604083008,0.013574886,0.000005696
423,1604083009,0.013575304,0.000008602
424,1604083010,0.01353077,0.000006695
425,1604083011,0.013566216,0.000005997
426,1604083012,0.012261878,0.000005598
427,1604083013,0.012308779,0.00000572
428,1604083014,0.01231122,0.000005784
429,1604083015,0.012335344,0.000005806
430,1604083016,0.012293266,0.000005649
431,1604083017,0.012281321,0.000005694
432,1604083018,0.012246843,0.000005705
433,1604083019,0.012312013,0.000005742
434,1604083020,0.01225844,0.000005681
435,1604083021,0.012316715,0.000005748
436,1604083022,0.011174798,0.0000057
437,1604083023,0.011158149,0.000005659
438,1604083024,0.011172894,0.000005643
439,1604083025,0.011102466,0.000005761
440,1604083026,0.01114259,0.000005587
441,1604083027,0.011096887,0.00000637
442,1604083028,0.011131764,0.000007138
443,1604083029,0.011168931,0.000006909
444,1604083030,0.011158506,0.000005682
445,1604083031,0.011155953,0.000005708
446,1604083032,0.010114251,0.000005658
447,1604083033,0.010108831,0.00000554
448,1604083034,0.01007728,0.000005709
449,1604083035,0.010066243,0.000005567
450,1604083036,0.010130053,0.000005645
451,1604083037,0.010119205,0.000006076
452,1604083038,0.010093931,0.000005938
453,1604083039,0.010089728,0.000005701
454,1604083040,0.010121602,0.000005756
455,1604083041,0.010089798,0.000005689
456,1604083042,0.010153614,0.000005598
457,1604083043,0.009157688,0.000005694
458,1604083044,0.009110307,0.00000573
459,1604083045,0.009155339,0.00000568
460,1604083046,0.009046075,0.000005707
461,1604083047,0.009101793,0.000005592
462,1604083048,0.009127015,0.000005712
463,1604083049,0.009138979,0.000006288
464,1604083050,0.009050949,0.00000574
465,1604083051,0.009038786,0.000005633
466,1604083052,0.023710726,0.000005594
467,1604083053,0.084204683,0.000005636
468,1604083054,0.084185671,0.000005739
469,1604083055,0.08421217,0.000005782
470,1604083056,0.084213279,0.000006126
471,1604083057,0.084197532,0.000006119
472,1604083058,0.084166422,0.000006098
473,1604083059,0.084202055,0.000006175
474,1604083060,0.084169323,0.000006131
475,1604083061,0.084157655,0.000006123
476,1604083062,0.081630314,0.000006105
477,1604083063,0.076495952,0.000006145
478,1604083064,0.076512752,0.000006065
479,1604083065,0.076428061,0.000006159
480,1604083066,0.076510498,0.000007528
481,1604083067,0.076485421,0.000007356
482,1604083068,0.076466065,0.000007021
483,1604083069,0.076493095,0.000006105
484,1604083070,0.076499704,0.000006291
485,1604083071,0.076474485,0.000006118
486,1604083072,0.074324438,0.000006909
487,1604083073,0.069470514,0.0000079
488,1604083074,0.069540311,0.000003152
489,1604083075,0.069565266,0.000007183
490,1604083076,0.069505126,0.00000794
491,1604083077,0.069527394,0.000004199
492,1604083078,0.069513233,0.000006687
493,1604083079,0.069552405,0.000012501
494,1604083080,0.06949905,0.000015642
495,1604083081,0.069551672,0.000006404
496,1604083082,0.066765209,0.00000315
497,1604083083,0.063250829,0.000003028
498,1604083084,0.063198257,0.000003351
499,1604083085,0.063145383,0.000007093
500,1604083086,0.06322713,0.000013704
501,1604083087,0.063151912,0.000006852
502,1604083088,0.063192611,0.000009239
503,1604083089,0.063175953,0.000007688
504,1604083090,0.06318213,0.00000848
505,1604083091,0.063169502,0.000006211
506,1604083092,0.060373797,0.000006115
507,1604083093,0.057368496,0.000006081
508,1604083094,0.057385284,0.000007507
509,1604083095,0.057403735,0.000008404
510,1604083096,0.057426344,0.000006137
511,1604083097,0.057401464,0.000008433
512,1604083098,0.057398025,0.000009667
513,1604083099,0.057446666,0.000002659
514,1604083100,0.057420657,0.000003504
515,1604083101,0.057387358,0.000006155
516,1604083102,0.054952523,0.000006189
517,1604083103,0.052115875,0.000006165
518,1604083104,0.052146884,0.000006151
