Time,Hour,STA 1,STA 2
195,1604082781,9,0
196,1604082782,5,0
197,1604082783,6,0
198,1604082784,4,0
199,1604082785,7,0
200,1604082786,7,0
201,1604082787,3,0
202,1604082788,3,0
203,1604082789,6,0
204,1604082790,6,0
205,1604082791,5,0
206,1604082792,6,0
207,1604082793,8,0
208,1604082794,4,0
209,1604082795,3,0
210,1604082796,4,0
211,1604082797,5,0
212,1604082798,5,0
213,1604082799,6,0
214,1604082800,4,0
215,1604082801,5,0
216,1604082802,9,0
217,1604082803,5,0
218,1604082804,6,0
219,1604082805,4,0
220,1604082806,7,0
221,1604082807,14,0
222,1604082808,5,0
223,1604082809,1,0
224,1604082810,5,0
225,1604082811,7,0
226,1604082812,34,0
227,1604082813,27,0
228,1604082814,32,0
229,1604082815,36,0
230,1604082816,23,0
231,1604082817,27,0
232,1604082818,32,0
233,1604082819,37,0
234,1604082820,37,0
235,1604082821,34,0
236,1604082822,36,0
237,1604082823,18,0
238,1604082824,21,0
239,1604082825,25,0
240,1604082826,28,0
241,1604082827,39,0
242,1604082828,21,0
243,1604082829,23,0
244,1604082830,31,0
245,1604082831,36,0
246,1604082832,18,0
247,1604082833,18,0
248,1604082834,25,0
249,1604082835,27,0
250,1604082836,15,0
251,1604082837,19,0
252,1604082838,27,0
253,1604082839,27,0
254,1604082840,25,0
255,1604082841,19,0
256,1604082842,19,0
257,1604082843,24,0
258,1604082844,14,0
259,1604082845,15,0
260,1604082846,23,0
261,1604082847,24,0
262,1604082848,28,0
263,1604082849,22,0
264,1604082850,19,0
265,1604082851,20,0
266,1604082852,23,0
267,1604082853,20,0
268,1604082854,20,0
269,1604082855,19,0
270,1604082856,14,0
271,1604082857,21,0
272,1604082858,24,0
273,1604082859,19,0
274,1604082860,23,0
275,1604082861,16,0
276,1604082862,17,0
277,1604082863,16,0
278,1604082864,16,0
279,1604082865,18,0
280,1604082866,18,0
281,1604082867,15,0
282,1604082868,17,0
283,1604082869,23,0
284,1604082870,9,0
285,1604082871,33,0
286,1604082872,13,0
287,1604082873,17,0
288,1604082874,18,0
289,1604082875,16,0
290,1604082876,14,0
291,1604082877,16,0
292,1604082878,14,0
293,1604082879,10,0
294,1604082880,15,0
295,1604082881,22,0
296,1604082882,19,0
297,1604082883,14,0
298,1604082884,16,0
299,1604082885,11,0
300,1604082886,17,0
301,1604082887,20,0
302,1604082888,15,0
303,1604082889,20,0
304,1604082890,8,0
305,1604082891,13,0
306,1604082892,14,0
307,1604082893,13,0
308,1604082894,11,0
309,1604082895,16,0
310,1604082896,11,0
311,1604082897,8,0
312,1604082898,10,0
313,1604082899,15,0
314,1604082900,14,0
315,1604082901,17,0
316,1604082902,15,0
317,1604082903,13,0
318,1604082904,8,0
319,1604082905,5,0
320,1604082906,17,0
321,1604082907,9,0
322,1604082908,4,0
323,1604082909,10,0
324,1604082910,12,0
325,1604082911,22,0
326,1604082912,9,0
327,1604082913,10,0
328,1604082914,4,0
329,1604082915,14,0
330,1604082916,8,0
331,1604082917,15,0
332,1604082918,7,0
333,1604082919,8,0
334,1604082920,8,0
335,1604082921,8,0
336,1604082922,10,0
337,1604082923,6,0
338,1604082924,11,0
339,1604082925,8,0
340,1604082926,10,0
341,1604082927,11,0
342,1604082928,10,0
343,1604082929,7,0
344,1604082930,7,0
345,1604082931,10,0
346,1604082932,6,0
347,1604082933,7,0
348,1604082934,6,0
349,1604082935,3,0
350,1604082936,15,0
351,1604082937,2,0
352,1604082938,9,0
353,1604082939,10,0
354,1604082940,12,0
355,1604082941,15,0
356,1604082942,5,0
357,1604082943,12,0
358,1604082944,11,0
359,1604082945,9,0
360,1604082946,10,0
361,1604082947,7,0
362,1604082948,9,0
363,1604082949,6,0
364,1604082950,9,0
365,1604082951,4,0
366,1604082952,6,0
367,1604082953,8,0
368,1604082954,12,0
369,1604082955,9,0
370,1604082956,6,0
371,1604082957,10,0
372,1604082958,12,0
373,1604082959,4,0
374,1604082960,10,0
375,1604082961,5,0
376,1604082962,5,0
377,1604082963,7,0
378,1604082964,11,0
379,1604082965,5,0
380,1604082966,6,0
381,1604082967,2,0
382,1604082968,8,0
383,1604082969,8,0
384,1604082970,4,0
385,1604082971,13,0
386,1604082972,7,0
387,1604082973,3,0
388,1604082974,4,0
389,1604082975,2,0
390,1604082976,8,0
391,1604082977,4,0
392,1604082978,6,0
393,1604082979,4,0
394,1604082980,3,0
395,1604082981,9,0
396,1604082982,9,0
397,1604082983,6,0
398,1604082984,1,0
399,1604082985,3,0
400,1604082986,4,0
401,1604082987,3,0
402,1604082988,1,0
403,1604082989,4,0
404,1604082990,3,0
405,1604082991,8,0
406,1604082992,3,0
407,1604082993,4,0
408,1604082994,5,0
409,1604082995,4,0
410,1604082996,5,0
411,1604082997,3,0
412,1604082998,6,0
413,1604082999,8,0
414,1604083000,3,0
415,1604083001,5,0
416,1604083002,5,0
417,1604083003,2,0
418,1604083004,1,0
419,1604083005,2,0
420,1604083006,3,0
421,1604083007,7,0
422,1604083008,4,0
423,1604083009,7,0
424,1604083010,4,0
425,1604083011,3,0
426,1604083012,1,0
427,1604083013,3,0
428,1604083014,2,0
429,1604083015,3,0
430,1604083016,2,0
431,1604083017,3,0
432,1604083018,0,0
433,1604083019,3,0
434,1604083020,3,0
435,1604083021,4,0
436,1604083022,6,0
437,1604083023,5,0
438,1604083024,3,0
439,1604083025,5,0
440,1604083026,2,0
441,1604083027,4,0
442,1604083028,4,0
443,1604083029,0,0
444,1604083030,6,0
445,1604083031,3,0
446,1604083032,1,0
447,1604083033,2,0
448,1604083034,5,0
449,1604083035,5,0
450,1604083036,1,0
451,1604083037,4,0
452,1604083038,3,0
453,1604083039,4,0
454,1604083040,1,0
455,1604083041,3,0
456,1604083042,1,0
457,1604083043,1,0
458,1604083044,3,0
459,1604083045,5,0
460,1604083046,2,0
461,1604083047,1,0
462,1604083048,0,0
463,1604083049,4,0
464,1604083050,1,0
465,1604083051,1,0
466,1604083052,32,0
467,1604083053,33,0
468,1604083054,25,0
469,1604083055,33,0
470,1604083056,36,0
471,1604083057,35,0
472,1604083058,27,0
473,1604083059,23,0
474,1604083060,37,0
475,1604083061,38,0
476,1604083062,29,0
477,1604083063,31,0
478,1604083064,30,0
479,1604083065,25,0
480,1604083066,42,0
481,1604083067,19,0
482,1604083068,32,0
483,1604083069,20,0
484,1604083070,36,0
485,1604083071,26,0
486,1604083072,22,0
487,1604083073,24,0
488,1604083074,24,0
489,1604083075,21,0
490,1604083076,29,0
491,1604083077,24,0
492,1604083078,15,0
493,1604083079,21,0
494,1604083080,27,0
495,1604083081,23,0
496,1604083082,20,0
497,1604083083,22,0
498,1604083084,20,0
499,1604083085,23,0
500,1604083086,14,0
501,1604083087,22,0
502,1604083088,23,0
503,1604083089,28,0
504,1604083090,19,0
505,1604083091,24,0
506,1604083092,28,0
507,1604083093,16,0
508,1604083094,17,0
509,1604083095,11,0
510,1604083096,17,0
511,1604083097,20,0
512,1604083098,24,0
513,1604083099,18,0
514,1604083100,16,0
515,1604083101,14,0
516,1604083102,14,0
517,1604083103,16,0
518,1604083104,26,0
519,1604083105,17,0
520,1604083106,25,0
521,1604083107,20,0
522,1604083108,19,0
523,1604083109,16,0
524,1604083110,27,0
525,1604083111,21,0
526,1604083112,10,0
527,1604083113,15,0
528,1604083114,14,0
529,1604083115,9,0
530,1604083116,28,0
531,1604083117,15,0
532,1604083118,20,0
533,1604083119,24,0
534,1604083120,9,0
535,1604083121,12,0
536,1604083122,15,0
537,1604083123,9,0
538,1604083124,9,0
539,1604083125,13,0
540,1604083126,13,0
541,1604083127,8,0
542,1604083128,20,0
543,1604083129,6,0
544,1604083130,14,0
545,1604083131,11,0
546,1604083132,19,0
547,1604083133,11,0
548,1604083134,14,0
549,1604083135,18,0
550,1604083136,15,0
551,1604083137,14,0
552,1604083138,15,0
553,1604083139,12,0
554,1604083140,18,0
555,1604083141,11,0
556,1604083142,17,0
557,1604083143,15,0
558,1604083144,15,0
559,1604083145,11,0
560,1604083146,10,0
561,1604083147,14,0
562,1604083148,8,0
563,1604083149,8,0
564,1604083150,9,0
565,1604083151,4,0
566,1604083152,18,0
567,1604083153,10,0
568,1604083154,10,0
569,1604083155,9,0
