queue_delay,packet_loss
1604084624.730199310,0.000005566,0
1604084625.730476764,0.000005751,0
1604084626.730743026,0.000005654,0
1604084627.731014743,0.000005667,0
1604084628.731297544,0.000005632,0
1604084629.731569801,0.000005666,0
1604084630.731840625,0.000005740,0
1604084631.732148181,0.000006091,0
1604084632.732479284,0.000005638,0
1604084633.732764195,0.000005706,0
1604084634.733100838,0.000005665,0
1604084635.733361530,0.000005724,0
1604084636.733646343,0.000005825,0
1604084637.734023611,0.000007745,0
1604084638.734501924,0.000005674,0
1604084639.734833639,0.000007286,0
1604084640.735324417,0.000006477,0
1604084641.735722134,0.000005725,0
1604084642.736137194,0.000006304,0
1604084643.736468099,0.000005606,0
1604084644.736717090,0.000005682,0
1604084645.739607757,0.000007093,0
1604084646.739903712,0.000005640,0
1604084647.740163420,0.000005744,0
1604084648.740444248,0.000005641,0
1604084649.740719421,0.000005702,0
1604084650.741022381,0.000005623,0
1604084651.741310741,0.000006355,0
1604084652.741598759,0.000007663,0
1604084653.741924953,0.000005727,0
1604084654.742222881,0.000005680,0
1604084655.742525078,0.000005688,0
1604084656.742766916,0.000006529,0
1604084657.743007690,0.000005653,0
1604084658.743272584,0.000005600,0
1604084659.743738616,0.000006273,0
1604084660.744449840,0.000005662,0
1604084661.744816726,0.000005684,0
1604084662.746660287,0.000005850,0
1604084663.747085952,0.000005724,0
1604084664.747321742,0.000005750,0
1604084665.747606522,0.000008764,0
1604084666.747862165,0.000005552,0
1604084667.748138188,0.000005676,0
1604084668.748403109,0.000005958,0
1604084669.748724226,0.000005600,0
1604084670.748967927,0.000006392,0
1604084671.749824740,0.000005556,0
1604084672.750076258,0.000005662,0
1604084673.750323952,0.000005580,0
1604084674.750554989,0.000005672,0
1604084675.750811258,0.000006989,0
1604084676.751046056,0.000006195,0
1604084677.751305549,0.000005796,0
1604084678.751556866,0.000005785,0
1604084679.751825582,0.000005670,0
1604084680.752101974,0.000006018,0
1604084681.752382839,0.000006023,0
1604084682.752684232,0.000005744,0
1604084683.752953042,0.000006010,0
1604084684.753246399,0.000005470,0
1604084685.753502025,0.000005809,0
1604084686.753766809,0.000005699,0
1604084687.753994121,0.000005811,0
1604084688.754222573,0.000005812,0
1604084689.754476127,0.000005770,0
1604084690.754756727,0.000006535,0
1604084691.755033058,0.000005749,0
1604084692.755289548,0.000005647,0
1604084693.755516566,0.000005968,0
1604084694.755762964,0.000005564,0
1604084695.755987168,0.000005684,0
1604084696.756255233,0.000005681,0
1604084697.756522585,0.000005641,0
1604084698.756756391,0.000005645,0
1604084699.756979318,0.000005606,0
1604084700.757243457,0.000006109,0
1604084701.757533124,0.000006294,0
1604084702.760123564,0.000005857,0
