Time,Hour,0x00,0x01,0x02
160,2020-10-30T12:04:38-07:00,12000,12,12000
161,2020-10-30T12:04:39-07:00,12000,12,12000
162,2020-10-30T12:04:40-07:00,12000,13,12000
163,2020-10-30T12:04:41-07:00,12000,13,12000
164,2020-10-30T12:04:42-07:00,12000,13,12000
165,2020-10-30T12:04:43-07:00,12000,13,12000
166,2020-10-30T12:04:44-07:00,12000,13,12000
167,2020-10-30T12:04:45-07:00,12000,14,12000
168,2020-10-30T12:04:46-07:00,12000,14,12000
169,2020-10-30T12:04:47-07:00,12000,14,12000
170,2020-10-30T12:04:48-07:00,12000,14,12000
171,2020-10-30T12:04:49-07:00,12000,14,12000
172,2020-10-30T12:04:50-07:00,12000,15,12000
173,2020-10-30T12:04:51-07:00,12000,15,12000
174,2020-10-30T12:04:52-07:00,12000,15,12000
175,2020-10-30T12:04:53-07:00,12000,15,12000
176,2020-10-30T12:04:54-07:00,12000,15,12000
177,2020-10-30T12:04:55-07:00,12000,16,12000
178,2020-10-30T12:04:56-07:00,12000,16,12000
179,2020-10-30T12:04:57-07:00,12000,16,12000
180,2020-10-30T12:04:58-07:00,12000,16,12000
181,2020-10-30T12:04:59-07:00,12000,16,12000
182,2020-10-30T12:05:00-07:00,12000,17,12000
183,2020-10-30T12:05:01-07:00,12000,17,12000
184,2020-10-30T12:05:02-07:00,12000,17,12000
185,2020-10-30T12:05:03-07:00,12000,17,12000
186,2020-10-30T12:05:04-07:00,12000,17,12000
187,2020-10-30T12:05:05-07:00,12000,18,12000
188,2020-10-30T12:05:06-07:00,12000,18,12000
189,2020-10-30T12:05:07-07:00,12000,18,12000
190,2020-10-30T12:05:08-07:00,12000,18,12000
191,2020-10-30T12:05:09-07:00,12000,18,12000
192,2020-10-30T12:05:10-07:00,12000,19,12000
193,2020-10-30T12:05:11-07:00,12000,19,12000
194,2020-10-30T12:05:12-07:00,12000,19,12000
195,2020-10-30T12:05:13-07:00,12000,19,12000
196,2020-10-30T12:05:14-07:00,12000,19,12000
