QoS 1;BE 1;BE 2;BE 3;QoS 2;
2.202688;3.7463040000000003;6.642752000000001;1.8211199999999999;1.933856;
2.08128;2.332768;2.6623040000000002;5.662815999999999;2.159328;
1.933856;1.612992;1.500256;8.472544;1.9945599999999999;
2.12464;1.352832;1.6650239999999998;8.585280000000001;2.020576;
2.202688;2.6016;2.29808;7.076352;2.202688;
2.020576;5.55008;7.449248;5.610784;1.916512;
2.332768;5.628127999999999;6.8682240000000006;7.093696;2.2373760000000003;
2.150656;5.047104;7.839488;5.37664;1.9772159999999999;
2.228704;3.980448;7.076352;7.63136;2.2633919999999996;
2.610272;4.50944;7.509952;7.3191679999999995;1.8384639999999999;
1.7083840000000001;4.03248;7.249792;7.180416;2.462848;
1.9945599999999999;4.1452160000000005;7.119712000000001;5.246560000000001;2.25472;
2.202688;4.07584;7.310496;7.5012799999999995;2.150656;
2.08128;4.42272;7.093696;5.385312;1.7344000000000002;
2.1159679999999996;4.223264;7.06768;7.24112;2.402144;
2.107296;4.283968;7.71808;5.437344;2.21136;
2.12464;4.067168000000001;7.8308159999999996;7.223776;2.029248;
2.029248;4.1192;7.553312;6.98096;2.202688;
2.29808;4.336;8.567936;5.125152;2.228704;
2.107296;3.2173119999999997;8.351136;7.6487039999999995;1.9858879999999999;
1.847136;1.699712;6.972288;4.9864;2.2460479999999996;
2.011904;6.295872;7.63136;4.856319999999999;2.280736;
2.0899520000000003;7.085024000000001;7.275808;6.11376;2.0726080000000002;
2.055264;6.087744;7.726752;4.7349120000000005;2.063936;
1.7257280000000002;3.694272;7.917536;3.572864;2.020576;
2.0899520000000003;1.621664;7.232448000000001;5.9836800000000006;2.063936;
2.202688;1.621664;7.926208;4.804288;1.769088;
2.185344;2.176672;7.6833919999999996;4.72624;1.292128;
1.9858879999999999;6.694783999999999;7.579328;5.333279999999999;1.3788479999999999;
2.540896;6.920256;7.865504;6.087744;0.893216;
1.86448;7.440576;7.475264;4.448736;4.526783999999999;
2.289408;6.651424;7.93488;4.856319999999999;2.5148800000000002;
1.9512;2.6623040000000002;7.0156480000000006;5.038431999999999;2.2200320000000002;
2.272064;1.500256;7.6140159999999995;4.995072;1.8818240000000002;
1.968544;1.6650239999999998;7.483936;4.925696;2.2633919999999996;
1.8818240000000002;2.315424;7.492608000000001;4.72624;2.141984;
2.03792;7.449248;7.71808;4.4400640000000005;1.90784;
2.29808;6.859552;7.3191679999999995;5.862272;;
2.1159679999999996;7.8308159999999996;7.6140159999999995;4.864992;;
2.25472;7.076352;8.611296;4.231935999999999;;
2.0986239999999996;7.527296000000001;6.712128;5.255232;;
2.003232;7.249792;7.700736;4.561472;;
2.176672;7.041664;7.362528;5.870944000000001;;
2.0726080000000002;7.397216;7.9782399999999996;4.1799040000000005;;
2.2460479999999996;7.093696;7.362528;5.281248;;
2.08128;7.0590079999999995;6.824864;5.68016;;
2.063936;7.71808;7.483936;4.830304;;
2.25472;7.839488;7.9088639999999995;4.561472;;
2.21136;7.561984000000001;7.735424;5.333279999999999;;
2.4108159999999996;8.559263999999999;7.362528;5.89696;;
1.6650239999999998;8.359808000000001;7.752768;3.9457600000000004;;
2.0986239999999996;6.954944;7.0243199999999995;5.94032;;
1.9945599999999999;7.6487039999999995;7.388544;4.951712000000001;;
2.194016;7.258464;3.919744;5.628127999999999;;
2.2373760000000003;7.709408000000001;1.7344000000000002;8.437856;;
1.933856;7.93488;1.621664;7.54464;;
