queue_delay,packet_loss
1604083515.260443399,0.000002570,0
1604083516.260573926,0.000003009,0
1604083517.260744529,0.000003602,0
1604083518.260966413,0.000002503,0
1604083519.261185373,0.000002550,0
1604083520.261453226,0.000007040,0
1604083521.261796061,0.000006803,0
1604083522.262089863,0.000002570,0
1604083523.262302095,0.000002231,0
1604083524.262527107,0.000005412,0
1604083525.262830991,0.000005378,0
1604083526.263080730,0.000005354,0
1604083527.263471136,0.000005277,0
1604083528.263783379,0.000005358,0
1604083529.264041532,0.000005389,0
1604083530.264292613,0.000005392,0
1604083531.264535882,0.000003311,0
1604083532.264783153,0.000003009,0
1604083533.265164646,0.000005636,0
1604083534.265698121,0.000003995,0
1604083535.265989971,0.000002913,0
1604083536.266294803,0.000002265,0
1604083537.266619712,0.000005348,0
1604083538.266956288,0.000005524,0
1604083539.267312069,0.000005415,0
1604083540.267541724,0.000005419,0
1604083541.267836471,0.000005431,0
1604083542.268206701,0.000005465,0
1604083543.268489339,0.000005442,0
1604083544.268763424,0.000005347,0
1604083545.269067102,0.000005250,0
1604083546.269426761,0.000005864,0
1604083547.269758792,0.000005423,0
1604083548.270078343,0.000005376,0
1604083549.270385802,0.000006041,0
1604083550.270600688,0.000002558,0
1604083551.270888574,0.000002611,0
1604083552.271038351,0.000002505,0
1604083553.271567605,0.000007020,0
1604083554.272060638,0.000005914,0
1604083555.272506876,0.000003268,0
1604083556.272676598,0.000004380,0
1604083557.272836765,0.000002505,0
1604083558.272973099,0.000003347,0
1604083559.273325874,0.000007776,0
1604083560.273761686,0.000002953,0
1604083561.274004092,0.000002913,0
1604083562.274157814,0.000002939,0
1604083563.274320554,0.000006099,0
1604083564.274680995,0.000002520,0
1604083565.274850123,0.000002924,0
1604083566.275030546,0.000002577,0
1604083567.275238895,0.000003101,0
1604083568.275489112,0.000008084,0
1604083569.275862495,0.000002911,0
1604083570.276029693,0.000002503,0
1604083571.276163835,0.000002892,0
1604083572.276322495,0.000002927,0
1604083573.276484950,0.000002554,0
1604083574.276650533,0.000003254,0
1604083575.276881392,0.000005433,0
1604083576.277276526,0.000002904,0
1604083577.277524716,0.000002742,0
1604083578.277721183,0.000002579,0
1604083579.277923592,0.000002565,0
1604083580.278126019,0.000006289,0
1604083581.278328037,0.000002898,0
1604083582.278501275,0.000003215,0
1604083583.278706864,0.000002585,0
1604083584.278849155,0.000002620,0
1604083585.279016592,0.000002985,0
1604083586.280480253,0.000011526,0
1604083587.280877665,0.000002537,0
1604083588.281100485,0.000002512,0
1604083589.281294210,0.000002884,0
1604083590.281558006,0.000008598,0
1604083591.281992650,0.000002886,0
1604083592.282461643,0.000002973,0
1604083593.282665229,0.000005522,0
1604083594.283081700,0.000007035,0
1604083595.283310096,0.000002741,0
1604083596.283448175,0.000002861,0
1604083597.285981689,0.000002937,0
1604083598.286550722,0.000007032,0
1604083599.286960328,0.000002557,0
1604083600.287263561,0.000005411,0
1604083601.287561163,0.000005453,0
1604083602.287864242,0.000005487,0
1604083603.288144838,0.000005425,0
1604083604.288408319,0.000005434,0
1604083605.288703927,0.000005431,0
1604083606.289009254,0.000005404,0
1604083607.289252948,0.000005365,0
1604083608.289521713,0.000005337,0
1604083609.289817752,0.000005388,0
1604083610.290071474,0.000005468,0
1604083611.290309803,0.000005351,0
1604083612.290577313,0.000005437,0
1604083613.290803080,0.000005414,0
1604083614.291081491,0.000005283,0
1604083615.291323120,0.000005325,0
1604083616.291613931,0.000005467,0
1604083617.291881275,0.000005404,0
1604083618.292131411,0.000005447,0
1604083619.292371025,0.000005453,0
1604083620.292676894,0.000005456,0
1604083621.292974481,0.000005443,0
1604083622.293288083,0.000005402,0
1604083623.293579050,0.000005367,0
1604083624.293852996,0.000005420,0
1604083625.294166362,0.000005424,0
1604083626.294487224,0.000005372,0
1604083627.294790656,0.000005352,0
1604083628.295070918,0.000005315,0
1604083629.295366156,0.000005415,0
1604083630.295657852,0.000005433,0
1604083631.295945063,0.000005556,0
1604083632.296237120,0.000005383,0
1604083633.296477970,0.000005369,0
1604083634.296704148,0.000005844,0
1604083635.296944822,0.000005279,0
1604083636.297245379,0.000005320,0
1604083637.297466154,0.000005436,0
1604083638.297721201,0.000005366,0
1604083639.298035465,0.000005751,0
1604083640.298275151,0.000005343,0
1604083641.298617331,0.000005536,0
1604083642.298889969,0.000005412,0
1604083643.300436978,0.000005423,0
1604083644.300981158,0.000005363,0
