Time;Datetime;STA 5;STA 6;STA 4;STA 3;STA 1;STA 2
219;2021-01-06T12:38:59+01:00;null;-60.0;null;null;null;null
220;2021-01-06T12:39:00+01:00;null;-60.0;null;null;null;null
221;2021-01-06T12:39:01+01:00;null;-60.0;null;null;null;null
222;2021-01-06T12:39:02+01:00;null;-60.0;null;null;null;null
223;2021-01-06T12:39:03+01:00;null;-60.0;null;null;null;null
224;2021-01-06T12:39:04+01:00;null;null;null;-51.0;null;null
225;2021-01-06T12:39:05+01:00;null;null;null;-51.0;null;null
226;2021-01-06T12:39:06+01:00;null;null;null;-51.0;null;null
227;2021-01-06T12:39:07+01:00;null;null;null;-51.0;null;null
228;2021-01-06T12:39:08+01:00;null;null;null;-51.0;null;null
229;2021-01-06T12:39:09+01:00;null;null;null;-51.0;-61.0;null
230;2021-01-06T12:39:10+01:00;null;null;null;null;-61.0;-47.0
231;2021-01-06T12:39:11+01:00;null;null;null;null;-61.0;-47.0
232;2021-01-06T12:39:12+01:00;null;null;null;null;-61.0;-47.0
233;2021-01-06T12:39:13+01:00;null;null;null;null;-61.0;-47.0
234;2021-01-06T12:39:14+01:00;null;null;null;null;-61.0;-47.0
235;2021-01-06T12:39:15+01:00;null;null;null;null;null;-47.0
236;2021-01-06T12:39:16+01:00;null;null;null;null;null;null
237;2021-01-06T12:39:17+01:00;null;null;null;null;null;null
238;2021-01-06T12:39:18+01:00;null;null;null;null;null;null
239;2021-01-06T12:39:19+01:00;null;null;null;null;null;null
240;2021-01-06T12:39:20+01:00;null;null;null;null;null;null
241;2021-01-06T12:39:21+01:00;null;null;null;null;null;null
242;2021-01-06T12:39:22+01:00;null;null;null;null;null;null
243;2021-01-06T12:39:23+01:00;null;null;null;null;null;null
244;2021-01-06T12:39:24+01:00;null;null;null;null;null;null
245;2021-01-06T12:39:25+01:00;null;null;null;null;null;null
246;2021-01-06T12:39:26+01:00;null;null;null;null;null;null
247;2021-01-06T12:39:27+01:00;null;null;null;null;null;null
248;2021-01-06T12:39:28+01:00;null;null;null;null;null;null
249;2021-01-06T12:39:29+01:00;null;null;null;null;null;null
250;2021-01-06T12:39:30+01:00;null;null;null;null;null;null
251;2021-01-06T12:39:31+01:00;null;null;null;null;null;null
252;2021-01-06T12:39:32+01:00;null;null;null;null;null;null
253;2021-01-06T12:39:33+01:00;null;null;null;null;null;null
254;2021-01-06T12:39:34+01:00;null;null;null;null;null;null
255;2021-01-06T12:39:35+01:00;null;null;null;null;null;null
256;2021-01-06T12:39:36+01:00;null;null;null;null;null;null
257;2021-01-06T12:39:37+01:00;null;null;null;null;null;null
258;2021-01-06T12:39:38+01:00;null;null;null;null;null;null
259;2021-01-06T12:39:39+01:00;null;null;null;null;null;null
260;2021-01-06T12:39:40+01:00;null;null;null;null;null;null
261;2021-01-06T12:39:41+01:00;null;null;null;null;null;null
262;2021-01-06T12:39:42+01:00;null;null;null;null;null;null
263;2021-01-06T12:39:43+01:00;null;null;null;null;null;null
264;2021-01-06T12:39:44+01:00;null;null;null;null;null;null
265;2021-01-06T12:39:45+01:00;null;null;null;null;null;null
266;2021-01-06T12:39:46+01:00;null;null;null;null;null;null
267;2021-01-06T12:39:47+01:00;null;null;null;null;null;null
268;2021-01-06T12:39:48+01:00;null;null;-57.0;null;null;null
269;2021-01-06T12:39:49+01:00;null;null;-57.0;null;null;null
270;2021-01-06T12:39:50+01:00;null;null;-57.0;null;null;null
271;2021-01-06T12:39:51+01:00;null;null;-57.0;null;null;null
272;2021-01-06T12:39:52+01:00;null;null;-57.0;null;null;null
273;2021-01-06T12:39:53+01:00;null;null;-57.0;null;null;null
274;2021-01-06T12:39:54+01:00;null;null;null;null;null;null
275;2021-01-06T12:39:55+01:00;null;-60.0;null;null;null;null
276;2021-01-06T12:39:56+01:00;null;-60.0;null;null;null;null
277;2021-01-06T12:39:57+01:00;null;-60.0;null;null;null;null
278;2021-01-06T12:39:58+01:00;null;-60.0;null;null;null;null
279;2021-01-06T12:39:59+01:00;null;-60.0;null;null;null;null
280;2021-01-06T12:40:00+01:00;null;-60.0;null;null;null;null
281;2021-01-06T12:40:01+01:00;null;-60.0;null;null;null;null
282;2021-01-06T12:40:02+01:00;null;-60.0;null;null;null;null
283;2021-01-06T12:40:03+01:00;null;-60.0;null;null;null;null
284;2021-01-06T12:40:04+01:00;null;null;null;-51.0;null;null
285;2021-01-06T12:40:05+01:00;null;null;null;-51.0;null;null
286;2021-01-06T12:40:06+01:00;null;null;null;-51.0;null;null
287;2021-01-06T12:40:07+01:00;null;null;null;-51.0;null;null
288;2021-01-06T12:40:08+01:00;null;null;null;-51.0;null;null
289;2021-01-06T12:40:09+01:00;null;null;null;-51.0;-60.0;null
290;2021-01-06T12:40:10+01:00;null;null;null;null;-60.0;-47.0
291;2021-01-06T12:40:11+01:00;null;null;null;null;-60.0;-47.0
292;2021-01-06T12:40:12+01:00;null;null;null;null;-60.0;-47.0
293;2021-01-06T12:40:13+01:00;null;null;null;null;-60.0;-47.0
294;2021-01-06T12:40:14+01:00;null;null;null;null;-60.0;-47.0
295;2021-01-06T12:40:15+01:00;null;null;null;null;null;-47.0
296;2021-01-06T12:40:16+01:00;null;null;null;null;null;null
297;2021-01-06T12:40:17+01:00;null;null;null;null;null;null
298;2021-01-06T12:40:18+01:00;null;null;null;null;null;null
299;2021-01-06T12:40:19+01:00;null;null;null;null;null;null
300;2021-01-06T12:40:20+01:00;null;null;null;null;null;null
301;2021-01-06T12:40:21+01:00;null;null;null;null;null;null
302;2021-01-06T12:40:22+01:00;null;null;null;null;null;null
303;2021-01-06T12:40:23+01:00;null;null;null;null;null;null
304;2021-01-06T12:40:24+01:00;null;null;null;null;null;null
305;2021-01-06T12:40:25+01:00;null;null;null;null;null;null
306;2021-01-06T12:40:26+01:00;null;null;null;null;null;null
307;2021-01-06T12:40:27+01:00;null;null;null;null;null;null
308;2021-01-06T12:40:28+01:00;null;null;null;null;null;null
309;2021-01-06T12:40:29+01:00;null;null;null;null;null;null
310;2021-01-06T12:40:30+01:00;null;null;null;null;null;null
311;2021-01-06T12:40:31+01:00;null;null;null;null;null;null
312;2021-01-06T12:40:32+01:00;null;null;null;null;null;null
313;2021-01-06T12:40:33+01:00;null;null;null;null;null;null
314;2021-01-06T12:40:34+01:00;null;null;null;null;null;null
315;2021-01-06T12:40:35+01:00;null;null;null;null;null;null
316;2021-01-06T12:40:36+01:00;null;null;null;null;null;null
317;2021-01-06T12:40:37+01:00;null;null;null;null;null;null
318;2021-01-06T12:40:38+01:00;null;null;null;null;null;null
319;2021-01-06T12:40:39+01:00;null;null;null;null;null;null
320;2021-01-06T12:40:40+01:00;null;null;null;null;null;null
321;2021-01-06T12:40:41+01:00;null;null;null;null;null;null
322;2021-01-06T12:40:42+01:00;null;null;null;null;null;null
323;2021-01-06T12:40:43+01:00;null;null;null;null;null;null
324;2021-01-06T12:40:44+01:00;null;null;null;null;null;null
325;2021-01-06T12:40:45+01:00;null;null;null;null;null;null
326;2021-01-06T12:40:46+01:00;null;-64.0;null;null;null;null
327;2021-01-06T12:40:47+01:00;null;-64.0;null;null;null;null
328;2021-01-06T12:40:48+01:00;null;-64.0;null;null;null;null
329;2021-01-06T12:40:49+01:00;null;-64.0;-57.0;null;null;null
330;2021-01-06T12:40:50+01:00;null;-64.0;-57.0;null;null;null
331;2021-01-06T12:40:51+01:00;null;-64.0;-57.0;null;null;null
332;2021-01-06T12:40:52+01:00;null;-64.0;-57.0;null;null;null
333;2021-01-06T12:40:53+01:00;null;-64.0;-57.0;null;null;null
334;2021-01-06T12:40:54+01:00;null;-64.0;null;null;null;null
335;2021-01-06T12:40:55+01:00;null;null;null;null;null;null
336;2021-01-06T12:40:56+01:00;null;-63.0;null;null;null;null
337;2021-01-06T12:40:57+01:00;null;null;null;null;null;null
338;2021-01-06T12:40:58+01:00;null;-62.0;null;null;null;null
339;2021-01-06T12:40:59+01:00;null;-61.0;null;null;null;null
340;2021-01-06T12:41:00+01:00;null;-61.0;null;null;null;null
341;2021-01-06T12:41:01+01:00;null;-61.0;null;null;null;null
342;2021-01-06T12:41:02+01:00;null;-61.0;null;null;null;null
343;2021-01-06T12:41:03+01:00;null;-61.0;null;null;null;null
344;2021-01-06T12:41:04+01:00;null;null;null;-51.0;null;null
345;2021-01-06T12:41:05+01:00;null;null;null;-51.0;null;null
346;2021-01-06T12:41:06+01:00;null;null;null;-51.0;null;null
347;2021-01-06T12:41:07+01:00;null;null;null;-51.0;null;null
348;2021-01-06T12:41:08+01:00;null;null;null;-51.0;null;null
349;2021-01-06T12:41:09+01:00;null;null;null;-51.0;-60.0;null
350;2021-01-06T12:41:10+01:00;null;null;null;null;-60.0;-48.0
351;2021-01-06T12:41:11+01:00;null;null;null;null;-60.0;-48.0
352;2021-01-06T12:41:12+01:00;null;null;null;null;-60.0;-48.0
353;2021-01-06T12:41:13+01:00;null;null;null;null;-60.0;-48.0
354;2021-01-06T12:41:14+01:00;null;null;null;null;-60.0;-48.0
355;2021-01-06T12:41:15+01:00;null;null;null;null;null;-48.0
356;2021-01-06T12:41:16+01:00;null;null;null;null;null;null
357;2021-01-06T12:41:17+01:00;null;null;null;null;null;null
358;2021-01-06T12:41:18+01:00;null;null;null;null;null;null
359;2021-01-06T12:41:19+01:00;null;null;null;null;null;null
360;2021-01-06T12:41:20+01:00;null;null;null;null;null;null
361;2021-01-06T12:41:21+01:00;null;null;null;null;null;null
362;2021-01-06T12:41:22+01:00;null;null;null;null;null;null
363;2021-01-06T12:41:23+01:00;null;null;null;null;null;null
364;2021-01-06T12:41:24+01:00;null;null;null;null;null;null
365;2021-01-06T12:41:25+01:00;null;null;null;null;null;null
