#;approach;throughput;slice
326;Gómez et al.;null;QoS 1
327;Gómez et al.;null;QoS 1
328;Gómez et al.;null;QoS 1
329;Gómez et al.;null;QoS 1
330;Gómez et al.;null;QoS 1
331;Gómez et al.;null;QoS 1
332;Gómez et al.;null;QoS 1
333;Gómez et al.;null;QoS 1
334;Gómez et al.;null;QoS 1
335;Gómez et al.;null;QoS 1
336;Gómez et al.;null;QoS 1
337;Gómez et al.;null;QoS 1
338;Gómez et al.;null;QoS 1
339;Gómez et al.;null;QoS 1
340;Gómez et al.;null;QoS 1
341;Gómez et al.;null;QoS 1
342;Gómez et al.;null;QoS 1
343;Gómez et al.;null;QoS 1
344;Gómez et al.;null;QoS 1
345;Gómez et al.;null;QoS 1
346;Gómez et al.;null;QoS 1
347;Gómez et al.;null;QoS 1
348;Gómez et al.;null;QoS 1
349;Gómez et al.;null;QoS 1
350;Gómez et al.;null;QoS 1
351;Gómez et al.;null;QoS 1
352;Gómez et al.;null;QoS 1
353;Gómez et al.;null;QoS 1
354;Gómez et al.;null;QoS 1
355;Gómez et al.;null;QoS 1
356;Gómez et al.;null;QoS 1
357;Gómez et al.;null;QoS 1
358;Gómez et al.;null;QoS 1
359;Gómez et al.;null;QoS 1
360;Gómez et al.;null;QoS 1
361;Gómez et al.;null;QoS 1
362;Gómez et al.;null;QoS 1
363;Gómez et al.;null;QoS 1
364;Gómez et al.;null;QoS 1
365;Gómez et al.;null;QoS 1
366;Gómez et al.;null;QoS 1
367;Gómez et al.;null;QoS 1
368;Gómez et al.;null;QoS 1
369;Gómez et al.;null;QoS 1
370;Gómez et al.;null;QoS 1
371;Gómez et al.;null;QoS 1
372;Gómez et al.;null;QoS 1
373;Gómez et al.;null;QoS 1
374;Gómez et al.;null;QoS 1
375;Gómez et al.;null;QoS 1
376;Gómez et al.;0;QoS 1
377;Gómez et al.;0;QoS 1
378;Gómez et al.;null;QoS 1
379;Gómez et al.;0.502976;QoS 1
380;Gómez et al.;null;QoS 1
381;Gómez et al.;5.07312;QoS 1
382;Gómez et al.;6.5386880000000005;QoS 1
383;Gómez et al.;5.818912;QoS 1
384;Gómez et al.;null;QoS 1
385;Gómez et al.;6.2438400000000005;QoS 1
