Time;Hour;STA 6;STA 5;STA 4;STA 3;STA 2;STA 1
266;2020-11-09T19:11:41+01:00;1;0;0;0;0;0
267;2020-11-09T19:11:42+01:00;1;0;0;0;0;0
268;2020-11-09T19:11:43+01:00;1;0;0;0;0;0
269;2020-11-09T19:11:44+01:00;1;0;0;0;0;0
270;2020-11-09T19:11:45+01:00;1;0;0;0;0;0
271;2020-11-09T19:11:46+01:00;1;0;0;0;0;0
272;2020-11-09T19:11:47+01:00;1;0;0;0;0;0
273;2020-11-09T19:11:48+01:00;1;0;0;0;0;0
274;2020-11-09T19:11:49+01:00;1;0;0;0;0;0
275;2020-11-09T19:11:50+01:00;1;0;0;0;0;0
276;2020-11-09T19:11:51+01:00;1;0;0;0;0;0
277;2020-11-09T19:11:52+01:00;1;0;0;0;0;0
278;2020-11-09T19:11:53+01:00;1;0;0;0;0;0
279;2020-11-09T19:11:54+01:00;1;0;0;0;0;0
280;2020-11-09T19:11:55+01:00;1;0;0;0;0;0
281;2020-11-09T19:11:56+01:00;1;0;0;0;0;0
282;2020-11-09T19:11:57+01:00;1;0;0;0;0;0
283;2020-11-09T19:11:58+01:00;1;0;0;0;0;0
284;2020-11-09T19:11:59+01:00;1;0;0;0;0;0
285;2020-11-09T19:12:00+01:00;1;0;0;0;0;0
286;2020-11-09T19:12:01+01:00;1;0;0;0;0;0
287;2020-11-09T19:12:02+01:00;1;0;0;0;0;0
288;2020-11-09T19:12:03+01:00;1;0;0;0;0;0
289;2020-11-09T19:12:04+01:00;1;0;0;0;0;0
290;2020-11-09T19:12:05+01:00;1;0;0;0;0;0
291;2020-11-09T19:12:06+01:00;1;0;0;0;0;0
292;2020-11-09T19:12:07+01:00;1;0;0;0;0;0
293;2020-11-09T19:12:08+01:00;1;0;0;0;0;0
294;2020-11-09T19:12:09+01:00;1;0;0;0;0;0
295;2020-11-09T19:12:10+01:00;1;0;0;0;0;0
296;2020-11-09T19:12:11+01:00;1;0;0;0;0;0
297;2020-11-09T19:12:12+01:00;1;0;0;0;0;0
298;2020-11-09T19:12:13+01:00;1;0;0;0;0;0
299;2020-11-09T19:12:14+01:00;1;0;0;0;0;0
300;2020-11-09T19:12:15+01:00;1;0;0;0;0;0
301;2020-11-09T19:12:16+01:00;1;0;0;0;0;0
302;2020-11-09T19:12:17+01:00;1;0;0;0;0;0
303;2020-11-09T19:12:18+01:00;1;0;0;0;0;0
304;2020-11-09T19:12:19+01:00;1;0;0;0;0;0
305;2020-11-09T19:12:20+01:00;1;0;0;0;0;0
306;2020-11-09T19:12:21+01:00;1;0;0;0;0;0
307;2020-11-09T19:12:22+01:00;1;0;0;0;0;0
308;2020-11-09T19:12:23+01:00;1;0;0;0;0;0
309;2020-11-09T19:12:24+01:00;1;0;0;0;0;0
310;2020-11-09T19:12:25+01:00;1;0;0;0;0;0
311;2020-11-09T19:12:26+01:00;1;0;0;0;0;0
312;2020-11-09T19:12:27+01:00;1;0;0;0;0;0
313;2020-11-09T19:12:28+01:00;1;0;0;0;0;0
314;2020-11-09T19:12:29+01:00;1;0;0;0;0;0
315;2020-11-09T19:12:30+01:00;1;0;0;0;0;0
316;2020-11-09T19:12:31+01:00;1;0;0;0;0;0
317;2020-11-09T19:12:32+01:00;1;0;0;0;0;0
318;2020-11-09T19:12:33+01:00;1;0;0;0;0;0
319;2020-11-09T19:12:34+01:00;1;0;0;0;0;0
320;2020-11-09T19:12:35+01:00;1;0;0;0;0;0
321;2020-11-09T19:12:36+01:00;1;0;0;0;0;0
322;2020-11-09T19:12:37+01:00;1;0;0;0;0;0
323;2020-11-09T19:12:38+01:00;1;0;0;0;0;0
324;2020-11-09T19:12:39+01:00;1;0;0;0;0;0
325;2020-11-09T19:12:40+01:00;1;0;0;0;0;0
326;2020-11-09T19:12:41+01:00;1;0;0;0;0;0
327;2020-11-09T19:12:42+01:00;1;0;0;0;0;0
328;2020-11-09T19:12:43+01:00;1;0;0;0;0;0
329;2020-11-09T19:12:44+01:00;1;0;0;0;0;0
330;2020-11-09T19:12:45+01:00;1;0;0;0;0;0
331;2020-11-09T19:12:46+01:00;1;0;0;0;0;0
332;2020-11-09T19:12:47+01:00;1;0;0;0;0;0
333;2020-11-09T19:12:48+01:00;1;0;0;0;0;0
334;2020-11-09T19:12:49+01:00;1;0;0;0;0;0
335;2020-11-09T19:12:50+01:00;1;0;0;0;0;0
336;2020-11-09T19:12:51+01:00;1;0;0;0;0;0
337;2020-11-09T19:12:52+01:00;1;0;0;0;0;0
338;2020-11-09T19:12:53+01:00;1;0;0;0;0;0
339;2020-11-09T19:12:54+01:00;1;0;0;0;0;0
340;2020-11-09T19:12:55+01:00;1;0;0;0;0;0
341;2020-11-09T19:12:56+01:00;1;0;0;0;0;0
342;2020-11-09T19:12:57+01:00;1;0;0;0;0;0
343;2020-11-09T19:12:56+01:00;1;0;0;0;0;0
344;2020-11-09T19:12:59+01:00;1;0;0;0;0;0
345;2020-11-09T19:13:00+01:00;1;0;0;0;0;0
346;2020-11-09T19:13:01+01:00;1;0;0;0;0;0
347;2020-11-09T19:13:02+01:00;1;0;0;0;0;0
348;2020-11-09T19:13:03+01:00;1;0;0;0;0;0
349;2020-11-09T19:13:04+01:00;1;0;0;0;0;0
350;2020-11-09T19:13:05+01:00;1;0;0;0;0;0
351;2020-11-09T19:13:06+01:00;1;0;0;0;0;0
352;2020-11-09T19:13:07+01:00;1;0;0;0;0;0
353;2020-11-09T19:13:08+01:00;1;0;0;0;0;0
354;2020-11-09T19:13:09+01:00;1;0;0;0;0;0
355;2020-11-09T19:13:10+01:00;1;0;0;0;0;0
356;2020-11-09T19:13:11+01:00;1;0;0;0;0;0
357;2020-11-09T19:13:12+01:00;1;0;0;0;0;0
358;2020-11-09T19:13:13+01:00;1;0;0;0;0;0
359;2020-11-09T19:13:14+01:00;1;0;0;0;0;0
360;2020-11-09T19:13:15+01:00;1;0;0;0;0;0
361;2020-11-09T19:13:16+01:00;1;0;0;0;0;0
362;2020-11-09T19:13:17+01:00;1;0;0;0;0;0
363;2020-11-09T19:13:18+01:00;1;0;0;0;0;0
364;2020-11-09T19:13:19+01:00;1;0;0;0;0;0
