sep=;
"Time";"00:0D:B9:42:6A:00";"00:0D:B9:42:72:08"
"2020-06-28T17:02:14+02:00";0;0.0006349222222222222
"2020-06-28T17:02:15+02:00";0.0005117555555555556;0
"2020-06-28T17:02:16+02:00";0;0
"2020-06-28T17:02:17+02:00";0;0
"2020-06-28T17:02:18+02:00";0;0.0006168666666666667
"2020-06-28T17:02:19+02:00";0.0005151;0
"2020-06-28T17:02:20+02:00";0;0
"2020-06-28T17:02:21+02:00";0;0
"2020-06-28T17:02:22+02:00";0;0.0006107111111111111
"2020-06-28T17:02:23+02:00";0.0005156666666666667;0
"2020-06-28T17:02:24+02:00";0;0
"2020-06-28T17:02:25+02:00";0;0
"2020-06-28T17:02:26+02:00";0;0.0006184777777777778
"2020-06-28T17:02:27+02:00";0.0005133333333333333;0
"2020-06-28T17:02:28+02:00";0;0
"2020-06-28T17:02:29+02:00";0;0
"2020-06-28T17:02:30+02:00";0;0.0005987333333333333
"2020-06-28T17:02:31+02:00";0.0005538888888888889;0
"2020-06-28T17:02:32+02:00";0;0
"2020-06-28T17:02:33+02:00";0;0
"2020-06-28T17:02:34+02:00";0;0.0005799888888888888
"2020-06-28T17:02:35+02:00";0.0005555555555555556;0
"2020-06-28T17:02:36+02:00";0;0
"2020-06-28T17:02:37+02:00";0;0
"2020-06-28T17:02:38+02:00";0;0.0006070555555555556
"2020-06-28T17:02:39+02:00";0.0005222222222222222;0
"2020-06-28T17:02:40+02:00";0;0
"2020-06-28T17:02:41+02:00";0;0
"2020-06-28T17:02:42+02:00";0;0.0006196333333333333
"2020-06-28T17:02:43+02:00";0.0005138555555555555;0
"2020-06-28T17:02:44+02:00";0;0
"2020-06-28T17:02:45+02:00";0;0
"2020-06-28T17:02:46+02:00";0;0.0006194555555555555
"2020-06-28T17:02:47+02:00";0.0005138777777777778;0
"2020-06-28T17:02:48+02:00";0;0
"2020-06-28T17:02:49+02:00";0;0
"2020-06-28T17:02:50+02:00";0;0.0006179666666666667
"2020-06-28T17:02:51+02:00";0.000515111111111111;0
"2020-06-28T17:02:52+02:00";0;0
"2020-06-28T17:02:53+02:00";0;0
"2020-06-28T17:02:54+02:00";0;0.0006183777777777778
"2020-06-28T17:02:55+02:00";0.001185511111111111;0
"2020-06-28T17:02:56+02:00";0;0
"2020-06-28T17:02:57+02:00";0;null
"2020-06-28T17:02:58+02:00";0;0.0012684666666666665
"2020-06-28T17:02:59+02:00";0.0005137666666666667;0
"2020-06-28T17:03:00+02:00";0;0
"2020-06-28T17:03:01+02:00";0;0
"2020-06-28T17:03:02+02:00";0;0.0006194111111111111
