Time;QoS 1;BE 1;BE 2;BE 3;QoS 2;;;;;;
192;82.491;502.687;707.818;800.332;;;;;;;
193;124.958;567.018;252.086;805.03;;;;;;;
194;343.778;538.438;138.903;154.886;;;;;;;
195;173.813;569.019;991.524;;;;;;;;
196;84.914;542.719;198.325;;;;;;;;
197;228.922;583.538;287.308;;;;;;;;
198;254.491;598.863;831.309;;;;;;;;
199;11.963;593.883;513.306;;;;;;;;
200;12.08;532.628;480.67;;;;;;;;
201;12.581;529.053;551.699;;;;;;;;
202;11.994;522.338;585.085;;;;;;;;
203;11.655;576.021;520.142;;;;;;;;
204;10.314;579.04;537.432;;;;;;;;
205;12.18;545.53;564.346;;;;;;;;
206;9.952;486.17;526.646;;;;;;;;
207;10.497;517.438;531.201;;;;;;;;
208;10.589;543.308;527.47;;;;;;;;
209;9.971;565.249;574.969;;;;;;;;
210;11.235;617.967;505.33;;;;;;;;
211;9.817;518.36;539.923;;;;;;;;
212;11.199;570.075;563.081;;;;;;;;
213;11.282;534.2;556.202;;;;;;;;
214;10.744;540.06;534.006;;;;;;;;
215;11.346;578.839;571.013;;;;;;;;
216;10.206;556.337;557.926;;;;;;;;
217;13.086;518.449;526.097;;;;;;;;
218;13.192;522.893;503.733;;;;;;;;
219;10.645;546.854;535.454;;;;;;;;
220;13.506;573.292;542.772;;;;;;;;
221;11.419;550.132;486.874;;;;;;;;
222;12.881;28.948;522.802;;;;;;;;
223;14.352;705.03;503.045;;;;;;;;
224;11.878;252.927;560.783;;;;;;;;
225;14.381;138.03;569.509;;;;;;;;
226;13.6;993.029;591.979;;;;;;;;
227;13.291;203.747;556.451;;;;;;;;
228;12.963;287.009;568.944;;;;;;;;
229;12.593;830.068;534.277;;;;;;;;
230;10.46;513.288;530.507;;;;;;;;
231;11.069;481.037;;;;;;;;;
232;13.333;555.187;;;;;;;;;
233;13.87;585.156;;;;;;;;;
234;11.801;519.702;;;;;;;;;
235;12.354;537.325;;;;;;;;;
236;10.534;563.515;;;;;;;;;
237;12.463;525.633;;;;;;;;;
238;14.021;531.708;;;;;;;;;
239;11.341;527.122;;;;;;;;;
240;14.911;575.635;;;;;;;;;
241;11.805;505.431;;;;;;;;;
242;12.748;539.678;;;;;;;;;
243;12.262;563.582;;;;;;;;;
244;11.771;556.321;;;;;;;;;
245;14.17;533.97;;;;;;;;;
246;12.435;570.899;;;;;;;;;
247;10.794;557.132;;;;;;;;;
248;10.754;525.525;;;;;;;;;
249;13.469;503.539;;;;;;;;;
250;13.073;533.39;;;;;;;;;
251;15.18;543.341;;;;;;;;;
252;106.102;486.78;;;;;;;;;
253;179.581;522.824;;;;;;;;;
254;351.98;503.543;;;;;;;;;
255;252.591;561.217;;;;;;;;;
256;208.658;569.81;;;;;;;;;
257;311.569;592.184;;;;;;;;;
258;384.964;556.868;;;;;;;;;
259;15.968;569.15;;;;;;;;;
260;10.781;534.697;;;;;;;;;
261;9.752;529.658;;;;;;;;;
262;11.184;;;;;;;;;;
263;10.37;;;;;;;;;;
264;9.39;;;;;;;;;;
265;10.599;;;;;;;;;;
266;11.306;;;;;;;;;;
267;9.22;;;;;;;;;;
268;9.896;;;;;;;;;;
269;12.736;;;;;;;;;;
270;10.338;;;;;;;;;;
271;10.066;;;;;;;;;;
272;11.351;;;;;;;;;;
273;11.317;;;;;;;;;;
274;12.328;;;;;;;;;;
275;10.535;;;;;;;;;;
276;12.792;;;;;;;;;;
277;11.494;;;;;;;;;;
278;10.441;;;;;;;;;;
279;11.067;;;;;;;;;;
280;11.716;;;;;;;;;;
281;10.2;;;;;;;;;;
282;11.293;;;;;;;;;;
283;10.879;;;;;;;;;;
284;12.421;;;;;;;;;;
285;13.987;;;;;;;;;;
286;12.622;;;;;;;;;;
287;14.184;;;;;;;;;;
288;12.389;;;;;;;;;;
289;15.305;;;;;;;;;;
290;11.917;;;;;;;;;;
291;11.43;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
