Time;QoS 1;BE 1;BE 2;BE 3;QoS 2;;;;;;
60;1.8818240000000002;3.980448;4.231935999999999;3.720288;2.393472;;;;;;
61;2.454176;4.015136;2.9224639999999997;4.20592;1.5869760000000002;;;;;;
62;1.77776;3.85904;5.142496;7.093696;2.063936;;;;;;
63;2.055264;4.344671999999999;6.738144;8.446528;2.480192;;;;;;
64;2.21136;4.223264;8.047616;6.087744;2.315424;;;;;;
65;2.107296;4.283968;6.738144;7.63136;2.020576;;;;;;
66;2.2373760000000003;3.893728;7.726752;6.1311040000000006;1.942528;;;;;;
67;2.159328;4.804288;8.342464;5.07312;2.133312;;;;;;
68;2.150656;4.223264;7.8048;6.937600000000001;2.011904;;;;;;
69;2.0899520000000003;4.03248;7.2064319999999995;7.1630720000000005;2.202688;;;;;;
70;1.9945599999999999;4.041152;7.969568000000001;4.969055999999999;2.08128;;;;;;
71;1.8731520000000002;4.214592;7.917536;6.087744;2.21136;;;;;;
72;2.159328;4.188576;7.986912;4.81296;1.9858879999999999;;;;;;
73;2.280736;3.997792;7.71808;6.460640000000001;1.855808;;;;;;
74;1.7170560000000001;4.7349120000000005;8.047616;7.128384;1.8731520000000002;;;;;;
75;1.847136;3.9024;7.865504;6.226496;2.194016;;;;;;
76;2.046592;3.997792;8.307776;5.870944000000001;2.202688;;;;;;
77;2.0986239999999996;4.067168000000001;7.553312;6.85088;2.176672;;;;;;
78;2.202688;4.058496;7.822144000000001;6.460640000000001;1.8384639999999999;;;;;;
79;2.0726080000000002;4.16256;6.755488000000001;8.507232;2.0899520000000003;;;;;;
80;1.959872;3.850368;7.952224;6.408608;2.020576;;;;;;
81;2.3848000000000003;4.362016;7.085024000000001;8.602624;2.2460479999999996;;;;;;
82;1.899168;4.257952;8.116992;6.0617280000000004;1.8904960000000002;;;;;;
83;2.046592;3.798336;6.7294719999999995;2.653632;2.107296;;;;;;
84;2.176672;4.067168000000001;8.351136;1.656352;2.03792;;;;;;
85;2.0986239999999996;3.9110720000000003;8.264415999999999;2.315424;2.020576;;;;;;
86;1.803776;4.483424;8.169024;3.026528;2.159328;;;;;;
87;2.055264;4.049824;8.15168;6.1397759999999995;2.2633919999999996;;;;;;
88;1.899168;3.963104;7.553312;6.928928;2.29808;;;;;;
89;1.968544;4.318656;8.047616;6.304544;1.803776;;;;;;
90;2.107296;4.03248;7.752768;6.001024;2.176672;;;;;;
91;1.933856;2.133312;8.351136;7.310496;2.063936;;;;;;
92;1.916512;8.012928;7.24112;4.63952;2.03792;;;;;;
93;1.899168;6.738144;7.405888;5.6541440000000005;2.29808;;;;;;
94;1.9945599999999999;8.073632;7.041664;5.350624;2.0986239999999996;;;;;;
95;1.699712;6.703456;7.440576;5.593439999999999;1.968544;;;;;;
96;2.29808;7.735424;7.882848;4.1799040000000005;2.2373760000000003;;;;;;
97;1.9772159999999999;8.342464;7.63136;4.023808;2.0899520000000003;;;;;;
98;2.272064;7.7961279999999995;8.160352;4.362016;1.6736959999999999;;;;;;
99;2.046592;7.249792;7.4665919999999995;5.28992;1.075328;;;;;;
100;2.2200320000000002;7.952224;7.84816;3.8070079999999997;1.491584;;;;;;
101;2.03792;7.917536;5.220544;5.584768;1.248768;;;;;;
102;2.1159679999999996;7.952224;2.168;9.582559999999999;3.5815360000000003;;;;;;
103;2.0726080000000002;7.752768;1.5175999999999998;12.296896;3.486144;;;;;;
104;2.03792;8.047616;2.5322240000000003;9.079584;2.133312;;;;;;
105;2.03792;7.8308159999999996;2.228704;8.758719999999999;2.003232;;;;;;
106;2.159328;8.351136;1.639008;10.805312;2.020576;;;;;;
107;2.228704;7.527296000000001;2.107296;10.128896000000001;2.107296;;;;;;
108;2.150656;7.8308159999999996;4.665536;6.504;2.08128;;;;;;
109;2.107296;6.738144;7.9435519999999995;3.590208;2.029248;;;;;;
110;2.133312;7.986912;7.041664;5.185855999999999;2.020576;;;;;;
111;1.90784;7.085024000000001;8.836768;4.9864;;;;;;;
112;1.968544;8.108319999999999;7.06768;3.590208;;;;;;;
113;2.0726080000000002;6.738144;8.229728;3.191296;;;;;;;
114;2.141984;8.316448000000001;8.038944;4.4747520000000005;;;;;;;
115;2.003232;8.273088;7.405888;4.934368;;;;;;;
116;2.350112;8.19504;8.099648;3.590208;;;;;;;
117;2.159328;8.15168;8.437856;3.260672;;;;;;;
118;1.942528;7.561984000000001;7.588;4.795616;;;;;;;
119;2.08128;8.030272;7.900192;4.5528;;;;;;;
120;2.03792;7.7614399999999995;8.134336000000001;3.72896;;;;;;;
121;2.202688;8.307776;7.952224;4.5874880000000005;;;;;;;
122;2.159328;7.284479999999999;8.177696;3.572864;;;;;;;
123;2.0986239999999996;7.388544;7.71808;4.925696;;;;;;;
124;2.2373760000000003;6.98096;8.143008;3.720288;;;;;;;
125;2.029248;7.483936;7.882848;4.396704;;;;;;;
126;2.0726080000000002;7.917536;8.15168;3.8243519999999998;;;;;;;
127;2.003232;7.605344;7.518624;4.934368;;;;;;;
128;2.107296;8.186368;8.481216;2.77504;;;;;;;
129;1.9772159999999999;7.440576;7.267136000000001;3.4341120000000003;;;;;;;
130;2.376128;7.865504;8.004256;1.17072;;;;;;;
131;1.8904960000000002;5.194528;10.510464;1.17072;;;;;;;
132;2.1159679999999996;2.176672;5.628127999999999;1.075328;;;;;;;
133;1.9512;1.5175999999999998;7.674720000000001;3.252;;;;;;;
134;2.12464;2.523552;7.917536;3.7809920000000004;;;;;;;
135;2.324096;2.194016;7.7614399999999995;4.830304;;;;;;;
136;1.847136;1.7083840000000001;7.440576;5.090464;;;;;;;
137;2.194016;2.0986239999999996;7.561984000000001;5.758208;;;;;;;
138;1.803776;4.63952;7.1630720000000005;4.960384;;;;;;;
139;2.029248;7.969568000000001;7.952224;4.379359999999999;;;;;;;
140;2.376128;7.0243199999999995;7.839488;4.535456;;;;;;;
141;2.185344;8.784736;8.229728;4.049824;;;;;;;
142;1.847136;7.093696;7.960896;4.240608;;;;;;;
143;2.08128;8.203712;7.284479999999999;1.5869760000000002;;;;;;;
144;2.376128;8.06496;7.752768;0.6850879999999999;;;;;;;
145;1.9512;7.397216;8.628639999999999;0.5289919999999999;;;;;;;
146;1.968544;8.082304;8.750048000000001;0.849856;;;;;;;
147;2.159328;8.446528;7.995584;3.3213760000000003;;;;;;;
148;2.315424;7.6140159999999995;7.7961279999999995;3.6162240000000003;;;;;;;
149;2.12464;7.900192;7.085024000000001;5.8536;;;;;;;
150;2.0986239999999996;8.134336000000001;7.917536;4.665536;;;;;;;
151;2.150656;7.752768;8.273088;4.5874880000000005;;;;;;;
152;2.2633919999999996;8.385824000000001;7.1630720000000005;4.3273280000000005;;;;;;;
153;2.194016;7.709408000000001;8.299104;4.197247999999999;;;;;;;
154;2.202688;8.143008;7.379872000000001;5.489376;;;;;;;
155;1.9858879999999999;7.84816;7.952224;4.266624;;;;;;;
156;2.0986239999999996;8.19504;7.839488;4.518112;;;;;;;
157;2.159328;7.509952;8.15168;3.460128;;;;;;;
158;2.2200320000000002;8.463871999999999;8.593952;2.6969920000000003;;;;;;;
159;1.9945599999999999;7.275808;7.674720000000001;4.908352;;;;;;;
160;2.2460479999999996;8.021600000000001;7.596672;4.873664;;;;;;;
161;2.5495680000000003;10.527808;5.194528;6.252511999999999;;;;;;;
162;2.228704;5.584768;2.21136;9.374432;;;;;;;
163;2.141984;7.640032;1.630336;10.987424;;;;;;;
164;1.9512;7.952224;2.133312;10.79664;;;;;;;
165;2.055264;7.7614399999999995;2.133312;7.9782399999999996;;;;;;;
166;2.150656;7.475264;1.9858879999999999;9.608576;;;;;;;
167;2.150656;7.561984000000001;1.7083840000000001;9.49584;;;;;;;
168;2.332768;7.128384;4.388032;7.0243199999999995;;;;;;;
169;1.90784;7.952224;7.839488;4.561472;;;;;;;
170;2.176672;7.7961279999999995;9.270368000000001;1.847136;;;;;;;
171;2.2633919999999996;8.290432000000001;8.290432000000001;3.8416959999999998;;;;;;;
172;2.29808;7.952224;7.093696;6.347904000000001;;;;;;;
173;1.9945599999999999;7.310496;7.744096;4.518112;;;;;;;
174;2.020576;7.71808;9.157632;1.396192;;;;;;;
175;2.046592;8.672;7.258464;5.714848;;;;;;;
176;2.011904;8.741376;7.9435519999999995;4.127872;;;;;;;
177;2.063936;8.004256;8.507232;3.3647359999999997;;;;;;;
178;1.786432;7.7961279999999995;8.169024;4.015136;;;;;;;
179;1.9945599999999999;7.041664;7.692064;4.388032;;;;;;;
180;2.055264;7.917536;7.7614399999999995;4.388032;;;;;;;
181;1.9772159999999999;8.316448000000001;8.446528;3.0698879999999997;;;;;;;
182;1.743072;7.119712000000001;7.709408000000001;4.864992;;;;;;;
183;1.925184;8.316448000000001;8.082304;3.893728;;;;;;;
184;2.133312;7.3712;7.310496;5.662815999999999;;;;;;;
185;2.2373760000000003;7.986912;8.28176;3.77232;;;;;;;
186;1.9858879999999999;7.839488;7.475264;5.975008;;;;;;;
187;2.12464;8.15168;7.640032;4.830304;;;;;;;
188;2.046592;8.550592;9.070912;2.176672;;;;;;;
189;1.90784;7.709408000000001;7.960896;2.896448;;;;;;;
190;2.0899520000000003;7.570656;7.969568000000001;0.667744;;;;;;;
191;1.959872;5.185855999999999;9.183648;1.1186880000000001;;;;;;;
192;1.855808;2.2460479999999996;7.952224;0.901888;;;;;;;
193;1.5436159999999999;1.595648;8.41184;2.462848;;;;;;;
194;2.497536;2.133312;8.255744;2.853088;;;;;;;
195;2.315424;2.168;7.379872000000001;5.003743999999999;;;;;;;
196;1.595648;1.959872;7.527296000000001;5.532736;;;;;;;
197;2.133312;1.699712;7.45792;5.610784;;;;;;;
198;2.783712;4.396704;8.030272;5.385312;;;;;;;
199;1.899168;7.874176;7.284479999999999;4.969055999999999;;;;;;;
200;1.9858879999999999;9.261696;8.351136;3.8243519999999998;;;;;;;
201;2.454176;8.247072;7.995584;4.07584;;;;;;;
202;1.7257280000000002;7.085024000000001;;;;;;;;;
203;2.2373760000000003;7.744096;;;;;;;;;
204;2.003232;9.157632;;;;;;;;;
205;2.063936;7.24112;;;;;;;;;
206;2.159328;7.986912;;;;;;;;;
207;1.699712;8.49856;;;;;;;;;
208;2.029248;8.169024;;;;;;;;;
209;2.150656;7.6833919999999996;;;;;;;;;
210;1.925184;7.770112;;;;;;;;;
211;2.08128;8.420512;;;;;;;;;
212;2.133312;7.709408000000001;;;;;;;;;
213;1.8904960000000002;8.082304;;;;;;;;;
214;2.063936;7.310496;;;;;;;;;
215;1.9858879999999999;8.273088;;;;;;;;;
216;1.90784;7.492608000000001;;;;;;;;;
217;2.2460479999999996;7.640032;;;;;;;;;
